plant,recall@10,recall@20,ndcg@10,ndcg@20,rank_first
Helianthus argophyllus,1.0,1.0,0.5,0.5,3.0
Helianthus giganteus,0.28,0.4,0.7065632165480473,0.5592770603950395,1.0
Helianthus mollis,0.20833333333333334,0.2916666666666667,0.544221363816962,0.4248857368967897,1.0
Heliomeris multiflora,0.08333333333333333,0.25,0.13886244387355456,0.21768240807251257,2.0
Heliotropium indicum,0.25,0.25,0.24630238874073,0.24630238874073,2.0
Helminthotheca echioides,0.14545454545454545,0.2545454545454545,0.8512360941594275,0.7619987820570069,1.0
Hesperocallis undulata,0.5,0.5,0.3065735963827292,0.3065735963827292,3.0
Heterotheca subaxillaris,0.07407407407407407,0.1111111111111111,0.42883980903376645,0.34425967411088587,2.0
Heuchera parviflora,0.0,0.0,0.0,0.0,14279.0
Hexasepalum teres,0.2631578947368421,0.3157894736842105,0.574337189448622,0.4215990110086795,1.0
Hibiscus coccineus,0.0,0.0,0.0,0.0,24.0
Hibiscus laevis,0.2222222222222222,0.3333333333333333,0.5455017237786199,0.46641099426507315,2.0
Hibiscus syriacus,0.08163265306122448,0.20408163265306123,0.48854680201562284,0.5295904670753377,1.0
Hirschfeldia incana,0.1095890410958904,0.2191780821917808,0.8486026589039901,0.8358918360086801,1.0
Holocarpha virgata,0.0,0.0,0.0,0.0,166.0
Hordeum jubatum,0.0,0.0,0.0,0.0,6957.0
Hymenothrix dissecta,0.0,1.0,0.0,0.26264953503719357,13.0
Hymenoxys richardsonii,0.0,0.0,0.0,0.0,1038.0
Hypericum fasciculatum,0.5,0.5,0.6131471927654584,0.6131471927654584,1.0
Hypericum galioides,0.5,0.5,0.6131471927654584,0.6131471927654584,1.0
Hypericum mutilum,0.5,0.5,0.6131471927654584,0.6131471927654584,1.0
Hypericum prolificum,0.16216216216216217,0.1891891891891892,0.6961622681399229,0.486587147453766,1.0
Hypericum tetrapetalum,0.2,0.2,0.16958010263680806,0.16958010263680806,3.0
Hypochaeris glabra,0.0,0.0,0.0,0.0,39.0
Hypoxis juncea,0.0,0.0,0.0,0.0,1211.0
Impatiens pallida,0.2,0.22857142857142856,0.7538142945344394,0.5261081995507085,1.0
Indigofera spicata,0.3333333333333333,0.3333333333333333,0.46927872602275644,0.46927872602275644,1.0
Inula helenium,0.125,0.20833333333333334,0.44409732781325584,0.3547935789925687,1.0
Ipomoea purpurea,0.10810810810810811,0.10810810810810811,0.5173633627401373,0.33388942160192164,1.0
Iris savannarum,0.25,0.25,0.123151194370365,0.123151194370365,8.0
Iva axillaris,0.0,0.0,0.0,0.0,74.0
Jacobaea vulgaris,0.07317073170731707,0.12195121951219512,0.25206494032666715,0.23378094286574214,3.0
Jeffersonia diphylla,0.2,0.2,0.11305340175787204,0.11305340175787204,7.0
Johnstonella angustifolia,0.13333333333333333,0.2,0.35895421017163476,0.31772690639803075,1.0
Justicia californica,0.08333333333333333,0.16666666666666666,0.12987501165334078,0.15950848043374818,9.0
Justicia pilosella,0.0,1.0,0.0,0.27894294565112987,11.0
Kallstroemia grandiflora,0.5,0.5,0.37271737588323545,0.37271737588323545,3.0
Kalmia microphylla,0.0,0.0,0.0,0.0,93.0
Keckiella rothrockii,0.3333333333333333,0.6666666666666666,0.1480409554829326,0.2748579723153261,8.0
Kerria japonica,1.0,1.0,1.0,1.0,1.0
Kolkwitzia amabilis,0.0,0.0,0.0,0.0,72.0
Lactuca virosa,0.0,0.0,0.0,0.0,1076.0
Lantana velutina,0.3333333333333333,0.4444444444444444,0.3027779052904232,0.3602819263771534,2.0
Leontodon saxatilis,0.0,0.0,0.0,0.0,129.0
Leptosiphon androsaceus,0.0,0.0,0.0,0.0,1216.0
Lespedeza bicolor,1.0,1.0,0.6934264036172708,0.6934264036172708,2.0
Lespedeza capitata,0.13043478260869565,0.1956521739130435,0.668306326910793,0.5407179285864896,1.0
Lespedeza stuevei,0.5,0.5,0.38685280723454163,0.38685280723454163,2.0
Liatris elegantula,0.0,0.0,0.0,0.0,56.0
Liatris hirsuta,0.0,0.5,0.0,0.16569576576522954,12.0
Liatris ligulistylis,0.11538461538461539,0.2692307692307692,0.4323181322709948,0.42307037572270534,1.0
Liatris quadriflora,0.2857142857142857,0.42857142857142855,0.2558209594125084,0.3230696032754596,3.0
Ligustrum japonicum,0.3888888888888889,0.5555555555555556,0.7702043899253147,0.6385382995484017,1.0
Ligustrum lucidum,0.3333333333333333,0.6666666666666666,0.46927872602275644,0.581817614818224,1.0
Ligustrum vulgare,0.45454545454545453,0.7272727272727273,0.633219679627003,0.7536276919640622,1.0
Lilium kelloggii,1.0,1.0,0.3333333333333333,0.3333333333333333,7.0
Limonium californicum,1.0,1.0,0.5,0.5,3.0
Limonium sinuatum,0.2727272727272727,0.6363636363636364,0.4249260138166711,0.6085104398814243,1.0
Linum bienne,0.0,0.0,0.0,0.0,27.0
Liriodendron tulipifera,0.11363636363636363,0.1590909090909091,0.6207622843987103,0.4707914304403538,1.0
Lithophragma affine,0.0,0.0,0.0,0.0,1435.0
Lithophragma glabrum,0.0,0.0,0.0,0.0,130.0
Lithospermum occidentale,0.5,0.5,0.38724877043467315,0.38724877043467315,2.0
Lobelia inflata,0.07142857142857142,0.2857142857142857,0.2837125544970319,0.4017839670935491,1.0
Lomatium dasycarpum,0.0,0.0,0.0,0.0,47.0
Lonicera caerulea,0.1388888888888889,0.2222222222222222,0.6117952373568122,0.5013606790559473,1.0
Lonicera conjugialis,0.0,0.0,0.0,0.0,157.0
Lonicera japonica,0.15789473684210525,0.3157894736842105,0.7125523635307983,0.6793750741236522,1.0
Lonicera villosa,1.0,1.0,0.5,0.5,3.0
Lotus corniculatus,0.06896551724137931,0.13793103448275862,0.8669479898642711,0.8428829682784792,1.0
Ludwigia maritima,0.0,0.0,0.0,0.0,184.0
Luina hypoleuca,0.0,0.5,0.0,0.16104282508920814,13.0
Lupinus albifrons,0.2222222222222222,0.3333333333333333,0.5326208815196266,0.44651328711509264,1.0
Lupinus arboreus,0.2727272727272727,0.5454545454545454,0.37859880603906126,0.5053337714968564,1.0
Lupinus arbustus,0.8571428571428571,0.8571428571428571,0.7640559697642552,0.764055969764255,1.0
Lupinus pusillus,0.6,0.8,0.37387278490946446,0.4568485129945834,4.0
Lycium barbarum,0.2,0.2,0.3391602052736161,0.3391602052736161,1.0
Lycium berlandieri,0.0,0.0,0.0,0.0,41.0
Lycium brevipes,0.0,0.0,0.0,0.0,22.0
Lycium californicum,0.16666666666666666,0.3333333333333333,0.30260241349881345,0.38005592956065276,1.0
Lycium cooperi,0.125,0.25,0.07614334071738352,0.1393790164092978,9.0
Lycopus americanus,0.058823529411764705,0.11764705882352941,0.07336392209936006,0.09391752570967905,7.0
Lysimachia clethroides,0.010416666666666666,0.010416666666666666,0.07336392209936006,0.04734667987788576,7.0
Magnolia virginiana,0.2,0.2,0.13120507751234178,0.13120507751234178,5.0
Malacothamnus fasciculatus,0.21428571428571427,0.32142857142857145,0.6339753813071975,0.5235090040328442,1.0
Malacothamnus jonesii,0.0,1.0,0.0,0.27894294565112987,11.0
Malosma laurina,0.06666666666666667,0.06666666666666667,0.29343678345195284,0.18937451887700105,2.0
Malvaviscus arboreus,0.17142857142857143,0.22857142857142856,0.7084409501232901,0.530263215962039,1.0
Marshallia caespitosa,0.14285714285714285,0.42857142857142855,0.09162544430476362,0.23190065304727223,7.0
Mecardonia acuminata,0.0,0.0,0.0,0.0,50.0
Medeola virginiana,0.0,0.0,0.0,0.0,216.0
Medicago lupulina,0.04081632653061224,0.12244897959183673,0.2895229882348575,0.33691131152184073,1.0
Melilotus officinalis,0.045454545454545456,0.09848484848484848,0.7084409501232901,0.7070514074918822,1.0
Melothria pendula,0.2,0.4,0.14606834984270645,0.22454263211381284,4.0
Menyanthes trifoliata,0.0,0.0,0.0,0.0,94.0
Mertensia longiflora,0.0,0.0,0.0,0.0,51.0
Mertensia virginica,0.08695652173913043,0.1956521739130435,0.4381081808305046,0.4501946130566531,1.0
Micranthes occidentalis,0.0,0.0,0.0,0.0,594.0
Micranthes petiolaris,0.0,0.0,0.0,0.0,107.0
Mikania scandens,0.07446808510638298,0.1595744680851064,0.5309999066793253,0.6248750429248052,4.0
Mirabilis laevis,0.29411764705882354,0.29411764705882354,0.6489315753318466,0.4646307801739274,1.0
Mitella diphylla,0.0,0.0,0.0,0.0,183.0
Monardella breweri,0.3333333333333333,0.3333333333333333,0.4034698846650846,0.4034698846650846,1.0
Monoptilon bellioides,0.3333333333333333,0.3333333333333333,0.18154179253735267,0.18154179253735267,5.0
Mucronea californica,0.0,0.0,0.0,0.0,62.0
Muscari neglectum,0.3333333333333333,0.3333333333333333,0.49828993591603116,0.44455630890579795,1.0
Myosotis discolor,1.0,1.0,0.6309297535714575,0.6309297535714575,2.0
Myosotis verna,0.0,0.0,0.0,0.0,21.0
Nabalus albus,0.0,0.0,0.0,0.0,84.0
Nabalus altissimus,0.25,0.25,0.19519002499605084,0.19519002499605084,3.0
Nabalus racemosus,0.2,0.2,0.10699313236726378,0.10699313236726378,8.0
Nabalus trifoliolatus,0.2,0.2,0.13120507751234178,0.13120507751234178,5.0
Nandina domestica,0.4,0.4,0.34519134224686937,0.34519134224686937,2.0
Narthecium californicum,0.0,0.0,0.0,0.0,75.0
Nassella pulchra,0.0,0.0,0.0,0.0,2152.0
Navarretia squarrosa,0.0,0.0,0.0,0.0,50.0
Nemophila heterophylla,0.0,0.0,0.0,0.0,1040.0
Neptunia lutea,0.0,0.0,0.0,0.0,23.0
Nigella damascena,0.4,0.6,0.32703966649239957,0.405513948763506,2.0
Nothochelone nemorosa,0.5,0.5,0.2640681225725909,0.2640681225725909,4.0
Oenothera pallida,0.16666666666666666,0.3333333333333333,0.19092086617893467,0.2598144329165077,2.0
Oenothera simulans,0.0,0.0,0.0,0.0,234.0
Oenothera speciosa,0.15254237288135594,0.2711864406779661,0.9363792118010483,0.8558160674382509,1.0
Oenothera suffulta,0.3333333333333333,0.3333333333333333,0.2960819109658652,0.2960819109658652,2.0
Oenothera triloba,0.0,1.0,0.0,0.23137821315975915,19.0
Opuntia cymochila,1.0,1.0,0.7977228895450266,0.7977228895450266,1.0
Opuntia rufida,0.5,0.5,0.2640681225725909,0.2640681225725909,4.0
Orthocarpus cuspidatus,1.0,1.0,0.5726073975563163,0.5726073975563163,3.0
Orthocarpus luteus,1.0,1.0,0.43067655807339306,0.43067655807339306,4.0
Osmadenia tenella,0.0,0.25,0.0,0.13159044486370408,12.0
Oxalis californica,0.3333333333333333,0.3333333333333333,0.2960819109658652,0.2960819109658652,2.0
Oxydendrum arboreum,0.375,0.375,0.4351085316587033,0.4351085316587033,1.0
Oxypolis rigidior,0.13333333333333333,0.2,0.133052010135729,0.15072857797457567,8.0
Packera paupercula,0.16666666666666666,0.16666666666666666,0.29345568839744024,0.2618105810657191,1.0
Palafoxia feayi,0.1,0.2,0.08514311764162101,0.14295011772532645,5.0
Paspalum notatum,0.5,0.5,0.35914753008966527,0.35914753008966527,2.0
Pectis papposa,0.2631578947368421,0.3684210526315789,0.59839506697425,0.4700808275046276,1.0
Pedicularis racemosa,0.625,0.625,0.7380396325465057,0.7380396325465057,1.0
Pediocactus nigrispinus,0.0,0.0,0.0,0.0,27.0
Pediomelum argophyllum,1.0,1.0,0.7611740324495944,0.7611740324495944,1.0
Penstemon confertus,0.42105263157894735,0.631578947368421,0.8454256604216018,0.7066300860937916,1.0
Penstemon eatonii,0.3333333333333333,0.6666666666666666,0.46927872602275644,0.59253456521548,1.0
Penstemon palmeri,0.5555555555555556,0.7777777777777778,0.6195648257403976,0.7346930660549683,1.0
Penstemon spectabilis,0.2222222222222222,0.2222222222222222,0.5384313152574522,0.3717235801371542,1.0
Perideridia gairdneri,0.0,0.0,0.0,0.0,23.0
Persicaria longiseta,0.23529411764705882,0.29411764705882354,0.5271064966405457,0.41773977620655184,1.0
Persicaria pensylvanica,0.09090909090909091,0.21212121212121213,0.4373524791503101,0.4302872879212854,1.0
Petasites frigidus,0.0,0.09090909090909091,0.0,0.05784195200729513,11.0
Phacelia hirsuta,0.0,0.0,0.0,0.0,18672.0
Phacelia imbricata,0.5,0.625,0.4928485157616413,0.5504360438068332,2.0
Phacelia nemoralis,0.5,0.6666666666666666,0.49893031775455193,0.571498148925172,1.0
Phacelia parryi,1.0,1.0,0.6509209298071326,0.6509209298071326,2.0
Phacelia pedicellata,1.0,1.0,1.0,1.0,1.0
Phleum pratense,0.1,0.15,0.18844415212771543,0.1579719907799845,3.0
Phlox stolonifera,0.5,0.5,0.6238470455881188,0.6238470455881188,1.0
Pholistoma membranaceum,0.0,0.0,0.0,0.0,29.0
