plant,pollinator,lat_bin,lon_bin,overlap
Asclepias syriaca,Satyrium calanus,37.5,-87.0,0.49404761904761907
Asclepias syriaca,Satyrium calanus,36.0,-82.5,0.3086616099828725
Asclepias syriaca,Satyrium calanus,37.5,-78.0,0.7072222222222222
Asclepias syriaca,Satyrium calanus,42.0,-78.0,0.6117900790797987
Asclepias syriaca,Satyrium calanus,43.5,-90.0,0.5898692810457518
Asclepias syriaca,Satyrium calanus,34.5,-84.0,0.5995747696669029
Asclepias syriaca,Satyrium calanus,43.5,-72.0,0.7285399853264857
Asclepias syriaca,Satyrium calanus,39.0,-84.0,0.6409090909090909
Asclepias syriaca,Satyrium calanus,39.0,-75.0,0.5097402597402597
Asclepias syriaca,Satyrium calanus,37.5,-85.5,0.6948547313747768
Asclepias syriaca,Satyrium calanus,42.0,-85.5,0.6333333333333333
Asclepias syriaca,Satyrium calanus,37.5,-76.5,0.5957446808510638
Asclepias syriaca,Satyrium calanus,42.0,-76.5,0.6766581632653061
Asclepias syriaca,Satyrium calanus,34.5,-82.5,0.5
Asclepias syriaca,Satyrium calanus,43.5,-70.5,0.611111111111111
Asclepias syriaca,Satyrium calanus,40.5,-75.0,0.8652958152958153
Asclepias syriaca,Satyrium calanus,40.5,-73.5,0.8424908424908425
Asclepias syriaca,Satyrium calanus,42.0,-90.0,0.8459119496855346
Asclepias syriaca,Satyrium calanus,37.5,-81.0,0.5866666666666667
Asclepias syriaca,Satyrium calanus,43.5,-93.0,0.6982097186700766
Asclepias syriaca,Satyrium calanus,42.0,-88.5,0.7813852813852813
Asclepias syriaca,Satyrium calanus,42.0,-79.5,0.7151515151515151
Asclepias syriaca,Satyrium calanus,43.5,-91.5,0.6325581395348838
Asclepias syriaca,Satyrium calanus,40.5,-87.0,0.5724137931034483
Asclepias syriaca,Satyrium calanus,36.0,-81.0,0.7401522674611056
Asclepias syriaca,Satyrium calanus,45.0,-94.5,0.8468253968253968
Asclepias syriaca,Satyrium calanus,40.5,-76.5,0.7547892720306514
Asclepias syriaca,Satyrium calanus,37.5,-93.0,0.4708333333333333
Asclepias syriaca,Satyrium calanus,37.5,-84.0,0.5357142857142856
Asclepias syriaca,Satyrium calanus,36.0,-79.5,0.38316400580551524
Asclepias syriaca,Satyrium calanus,43.5,-87.0,0.7348484848484849
Asclepias syriaca,Satyrium calanus,42.0,-72.0,0.7311299435028249
Asclepias syriaca,Satyrium calanus,39.0,-87.0,0.6564986737400531
Asclepias syriaca,Satyrium calanus,39.0,-78.0,0.8141187000055938
