method,reference,cold_start,fc_source,ac_source,pr_auc,roc_auc,connectance,seconds,recall@10,recall@10_lo,recall@10_hi,ndcg@10,recall@20,recall@20_lo,recall@20_hi,ndcg@20,median_rank_first
svd_taxonomic,"Strydom et al. 2022, Methods Ecol Evol 13:2308",True,observed,modelled,0.017954328243783645,0.8836385547743042,0.0002299303286957343,1.6784801483154297,0.3140604325341638,0.26941497307372503,0.36069531082656187,0.19049631912484458,0.46027774128125837,0.4123889241567153,0.5101570633767821,0.23089768407297548,12.0
congeneric,"phylogenetic-signal baseline; cf. Strydom et al. 2022, Methods Ecol Evol 13:2308",True,observed,modelled,0.011937287014988045,0.8594314319532526,0.0002299303286957343,1.6453359127044678,0.23837716626991162,0.19681525010895087,0.2814719104470917,0.15691106683674996,0.35296927489989494,0.3053239069088818,0.40367161085600395,0.1884001473891241,19.0
pair_gbm,"Pichler et al. 2020, Methods Ecol Evol 11:281",True,observed,modelled,0.01715496810056075,0.8375433553109952,0.0002299303286957343,31.07260298728943,0.1844599414523746,0.14852540230114455,0.22460912610786415,0.11668803816114366,0.2879646421053162,0.24558239501472237,0.33647037151721515,0.14367368894038943,31.5
popularity,"Aiyappa et al. 2025, ICML (arXiv:2405.14985)",True,observed,modelled,0.016432406220933626,0.8550565975325032,0.0002299303286957343,1.0208442211151123,0.17555350010523646,0.1388837645832329,0.2163066697036877,0.10951113814243946,0.2822692244072713,0.23796416038902304,0.3330760694924822,0.13830851722111,29.0
abundance,"Vázquez, Chacoff & Cagnolo 2009, Ecology 90:2039",True,observed,modelled,0.0021254093841241053,0.7002789867806126,0.0002299303286957343,0.9167740345001221,0.047467312355545896,0.02935549736033904,0.06914628724594714,0.021756838734798552,0.047467312355545896,0.02935549736033904,0.06914628724594714,0.020850258429909303,528.0
cooccurrence,"Blanchet, Cazelles & Gravel 2020, Ecology Letters 23:1050",True,observed,modelled,0.00085065629139185,0.5561621238603018,0.0002299303286957343,0.6428070068359375,0.028179977299695614,0.012859657947686115,0.0457602506062013,0.02176856767042599,0.05031321532433468,0.028168891045327295,0.07439099339627508,0.02832946580715967,2212.0
phenology_abundance,"Vizentin-Bugoni, Maruyama & Sazima 2014, Proc R Soc B 281:20132397",True,observed,modelled,0.0006481771826469666,0.5419477457691712,0.0002299303286957343,1.002286672592163,0.012177230046948356,0.002347417840375587,0.025821596244131453,0.009452033591198202,0.01782243732299329,0.005281125857710365,0.03218146811028111,0.011297014092388763,2212.0
lightfm,"Kula 2015, arXiv:1507.08439",True,observed,modelled,0.001339826966532293,0.7895293981103455,0.0002299303286957343,162.2219820022583,0.005488815244407622,0.0,0.014291632145816071,0.0022120945009212,0.012305051779307644,0.004517206167311246,0.0227413646316401,0.004685430352411193,178.0
