regime,final,system_v1,best_baseline,best_baseline_name,chance
cold plant,0.21272644330191728,0.18776908429025832,0.1439734415007885,baseline_widedeep,0.0013203907685504042
cold pollinator,0.13517420612694495,0.008471485517041926,0.04384773903069608,baseline_pair_gbm,0.002305571025352184
cold both,0.1054970209237081,0.028927116624194893,0.0444816094228002,baseline_antheia_scalar,0.0028987902830835536
warm,0.05094822487434608,0.04338071106220164,0.10469204456462233,baseline_svd_taxonomic,0.000288307569356712
