method,reference,cold_start,fc_source,ac_source,pr_auc,roc_auc,connectance,seconds,nrecall@10,nrecall@10_lo,nrecall@10_hi,recall@10,recall@10_lo,recall@10_hi,ndcg@10,nrecall@20,nrecall@20_lo,nrecall@20_hi,recall@20,recall@20_lo,recall@20_hi,ndcg@20,map,map_lo,map_hi,median_rank_first
svd_taxonomic,"Strydom et al. 2022, Methods Ecol Evol 13:2308",True,modelled,modelled,0.004483733230301523,0.5497829998147293,0.001409631209996952,0.4310753345489502,0.07336956521739131,0.026793478260869568,0.12917572463768115,0.059634536392848415,0.01683346970591216,0.11311819627516559,0.0724725676843024,0.08152173913043478,0.02716485507246377,0.14786231884057968,0.07860451568891466,0.0252924920348194,0.14498260903631746,0.07365110843403644,0.05193576361384133,0.016383094755202523,0.10256755752220055,43.0
pairnet,this work,True,modelled,modelled,0.002805034534537548,0.4841960828005879,0.001409631209996952,213.08925914764404,0.06708937198067633,0.021908212560386473,0.12271890096618358,0.058039151101810946,0.015198597225451443,0.11134275136273213,0.051518663351181666,0.0729296066252588,0.027639751552795033,0.13137034161490682,0.07016820562216981,0.02624402824370855,0.1274588620032993,0.05379705649297429,0.029102390478028588,0.010198583890953968,0.054657043405030095,93.0
congeneric,"phylogenetic-signal baseline; cf. Strydom et al. 2022, Methods Ecol Evol 13:2308",True,modelled,modelled,0.0034328954548847827,0.5587262541156558,0.001409631209996952,0.7613668441772461,0.06684782608695652,0.02172554347826087,0.12246829710144927,0.0569929750556349,0.014805959439111614,0.11189017850223093,0.047879475980825946,0.06954796411318151,0.024868875086266392,0.1259959454796411,0.06670892335853973,0.02231554446548053,0.12246419483471911,0.049081193162691,0.028178853798670717,0.008219003233973714,0.05613640261962512,78.0
ours_gbm,this work,True,modelled,modelled,0.004262598649135943,0.5576634610457045,0.001409631209996952,45.874900341033936,0.060144927536231886,0.016666666666666666,0.11666666666666668,0.05169824846934821,0.009019220336355886,0.10644254243199255,0.05630352184296557,0.05924978687127025,0.016879795396419435,0.11489450127877236,0.056307226447891406,0.014481931112365894,0.11079252748530243,0.0560454510707062,0.03916311271834893,0.010131221165442858,0.07361468603542334,48.5
popularity,"Aiyappa et al. 2025, ICML (arXiv:2405.14985)",True,modelled,modelled,0.003987233615899781,0.4940578046882569,0.001409631209996952,0.15470290184020996,0.043297101449275364,0.005797101449275362,0.09623188405797098,0.04067561807331628,0.004262574595055414,0.09240062872975276,0.04144553262294764,0.05863526570048309,0.01666666666666667,0.11286835748792269,0.05531746614950217,0.014217771052044933,0.10841170407270426,0.051557378499355246,0.03518587620542367,0.007923827905192537,0.07091445361888105,54.0
embednet,this work,True,modelled,modelled,0.002587926875901572,0.60304935109933,0.001409631209996952,536.8441240787506,0.027898550724637684,0.004347826086956522,0.05688405797101449,0.025543478260869567,0.001992753623188406,0.05471014492753623,0.019992606414469084,0.054528985507246365,0.012499999999999999,0.10944746376811591,0.05344438170525126,0.01164155138339921,0.1085531949934124,0.028307337353991997,0.015265830861411096,0.007021273245363602,0.024759925916840037,133.5
