reference,method,nrecall@10,delta_vs_ref,lo,hi,p,significant
congeneric,svd_taxonomic,0.28880090497737554,0.01783439871675166,0.0008279615264909398,0.03483989322224616,0.0392,True
congeneric,pair_gbm,0.28013119777825657,0.026504105915870622,0.005720046565634804,0.04754286971198735,0.0126,True
congeneric,popularity,0.244197850080203,0.0624374536139242,0.040950705068352126,0.0845615169144581,0.0,True
congeneric,abundance,0.1403822212645742,0.16625308242955303,0.1433377624554095,0.1903149764179176,0.0,True
congeneric,cooccurrence,0.1046457899399076,0.20198951375421967,0.17637118736383445,0.22811120388326273,0.0,True
congeneric,phenology_abundance,0.0793495175848117,0.22728578610931555,0.2031018668151021,0.25218446994182286,0.0,True
congeneric,lightfm,0.015941846824199767,0.2906934568699275,0.26666965931671816,0.3153372267710503,0.0,True
