reference,method,recall@10,delta_vs_ref,lo,hi,p,significant
congeneric,svd_taxonomic,0.13760073764570052,0.0685323669086967,0.052981729302028664,0.08427573606573242,0.0,True
congeneric,pair_gbm,0.11673014352667471,0.08940296102772252,0.07203634676507828,0.10657260749939486,0.0,True
congeneric,popularity,0.10743417060563502,0.09869893394876221,0.08132216694242662,0.11629236199882896,0.0,True
congeneric,abundance,0.05264436889613787,0.15348873565825935,0.1358331055789747,0.1714553826837469,0.0,True
congeneric,cooccurrence,0.03512940602924805,0.1710036985251492,0.15206962654506012,0.18996260246256874,0.0,True
congeneric,lightfm,0.028397486410641812,0.17773561814375544,0.16010724347837124,0.1950801426196446,0.0,True
congeneric,phenology_abundance,0.020095982152096153,0.18603712240230108,0.16801791126604715,0.20445902232054144,0.0,True
