method,reference,cold_start,fc_source,ac_source,pr_auc,roc_auc,connectance,seconds,nrecall@10,nrecall@10_lo,nrecall@10_hi,recall@10,recall@10_lo,recall@10_hi,ndcg@10,nrecall@20,nrecall@20_lo,nrecall@20_hi,recall@20,recall@20_lo,recall@20_hi,ndcg@20,map,map_lo,map_hi,median_rank_first
svd_taxonomic,"Strydom et al. 2022, Methods Ecol Evol 13:2308",True,modelled,modelled,0.02316609179610548,0.9687067601435346,0.000135265876089467,1.2498652935028076,0.379259501965924,0.3244148645696811,0.4352034185233726,0.379259501965924,0.3244148645696811,0.4352034185233726,0.21078117875495206,0.5506422858487078,0.49427009821218537,0.6085987645764023,0.5506422858487078,0.49427009821218537,0.6085987645764023,0.2595532314841211,0.16364903534061537,0.13846869116105892,0.18890831949120793,11.0
congeneric,"phylogenetic-signal baseline; cf. Strydom et al. 2022, Methods Ecol Evol 13:2308",True,modelled,modelled,0.015640672273171154,0.9877375285925447,0.000135265876089467,1.3739221096038818,0.28044997815640016,0.23110282874617735,0.333111620795107,0.28044997815640016,0.23110282874617735,0.333111620795107,0.17225371058219646,0.42423337365997915,0.36711713840440907,0.482827380952381,0.42423337365997915,0.36711713840440907,0.482827380952381,0.21338768648038603,0.14591935781957216,0.11888438735512265,0.17420996051933804,16.0
pair_gbm,"Pichler et al. 2020, Methods Ecol Evol 11:281",True,modelled,modelled,0.02620945878941126,0.9917420861559821,0.000135265876089467,23.318580627441406,0.22929226736566183,0.17713903451288773,0.28128576889471385,0.22929226736566183,0.17713903451288773,0.28128576889471385,0.12292454952427447,0.3504074671505864,0.29333997042712634,0.4054068370467453,0.3504074671505864,0.29333997042712634,0.4054068370467453,0.1566360021658932,0.10043874915976224,0.08329093581909605,0.1189993711161688,26.5
popularity,"Aiyappa et al. 2025, ICML (arXiv:2405.14985)",True,modelled,modelled,0.02747293763083022,0.9916521306566615,0.000135265876089467,0.7549078464508057,0.20565749235474004,0.15656727828746175,0.25552178899082567,0.20565749235474004,0.15656727828746175,0.25552178899082567,0.1189379151815484,0.3443513290990355,0.2883519318983768,0.40569976182074796,0.3443513290990355,0.2883519318983768,0.40569976182074796,0.1588850629389193,0.10576190910802645,0.08573063655728082,0.12620177685241374,29.0
phenology_abundance,"Vizentin-Bugoni, Maruyama & Sazima 2014, Proc R Soc B 281:20132397",True,modelled,modelled,0.00425665743976386,0.9680680446640204,0.000135265876089467,1.069495439529419,0.06001529051987767,0.03285550458715596,0.08792048929663608,0.06001529051987767,0.03285550458715596,0.08792048929663608,0.043547512919440895,0.10512232415902141,0.07033639143730887,0.14566131498470947,0.10512232415902141,0.07033639143730887,0.14566131498470947,0.055875701107945146,0.0450892431183663,0.027097747424694032,0.06326404392167212,396.5
abundance,"Vázquez, Chacoff & Cagnolo 2009, Ecology 90:2039",True,modelled,modelled,0.004022238062407091,0.9637874963265071,0.000135265876089467,0.6784689426422119,0.055733944954128437,0.03034977064220184,0.0834881498470948,0.055733944954128437,0.03034977064220184,0.0834881498470948,0.01926330819131621,0.055733944954128437,0.03034977064220184,0.0834881498470948,0.055733944954128437,0.03034977064220184,0.0834881498470948,0.01926330819131621,0.01655030207200832,0.013138941109649896,0.020077346219451245,523.0
cooccurrence,"Blanchet, Cazelles & Gravel 2020, Ecology Letters 23:1050",True,modelled,modelled,0.0014726146722003905,0.6194498342364857,0.000135265876089467,0.48447489738464355,0.03635867190913062,0.017250982961992137,0.05868310397553516,0.03635867190913062,0.017250982961992137,0.05868310397553516,0.02805513300434217,0.06507208387942333,0.03639826343381389,0.09305264307557884,0.06507208387942333,0.03639826343381389,0.09305264307557884,0.03647235317799147,0.02773962364727848,0.014593481599970677,0.04326052320229367,2216.0
lightfm,"Kula 2015, arXiv:1507.08439",True,modelled,modelled,0.0007261593822305934,0.8623930822091979,0.000135265876089467,148.01313424110413,0.027217125382262997,0.009323394495412843,0.04785932721712538,0.027217125382262997,0.009323394495412843,0.04785932721712538,0.014093754954294093,0.06735474006116209,0.03868501529051988,0.09786123853211011,0.06735474006116209,0.03868501529051988,0.09786123853211011,0.025041806566040516,0.01646815584158439,0.00828790385255434,0.027962910262310264,438.5
