,mean,lo,hi
sdm-gbif,0.006295245210592515,0.0025575130853612875,0.010084000128440506
gbif-base,0.02570092307277992,0.019487895275878252,0.032149968266916046
sdm-base,0.03199616828337244,0.025422299002079204,0.03893808237196641
