plant,feature,contrast,auc
Sonchus asper,delta,vs co-occurring,0.8853260869565218
Sonchus asper,delta_local,vs random,0.9414130434782609
Sonchus asper,delta_local,vs co-occurring,0.8961413043478261
Sonchus asper,N,vs random,0.9602717391304347
Sonchus asper,N,vs co-occurring,0.9129619565217392
Salvia lyrata,delta,vs random,0.8880154932786513
Salvia lyrata,delta,vs co-occurring,0.7581818181818182
Salvia lyrata,delta_local,vs random,0.8916609706083389
Salvia lyrata,delta_local,vs co-occurring,0.7568181818181818
Salvia lyrata,N,vs random,0.9578491683754842
Salvia lyrata,N,vs co-occurring,0.9263068181818181
Trillium ovatum,delta,vs random,0.9353383458646616
Trillium ovatum,delta,vs co-occurring,0.9065
Trillium ovatum,delta_local,vs random,0.9609022556390977
Trillium ovatum,delta_local,vs co-occurring,0.8304999999999999
Trillium ovatum,N,vs random,0.9892230576441102
Trillium ovatum,N,vs co-occurring,0.9540000000000001
Fragaria chiloensis,delta,vs random,0.8598419124734914
Fragaria chiloensis,delta,vs co-occurring,0.7338461538461538
Fragaria chiloensis,delta_local,vs random,0.9593213803740119
Fragaria chiloensis,delta_local,vs co-occurring,0.7325
Fragaria chiloensis,N,vs random,0.9735878156930788
Fragaria chiloensis,N,vs co-occurring,0.8311538461538461
Salvia carduacea,delta,vs random,0.8403125
Salvia carduacea,delta,vs co-occurring,0.639375
Salvia carduacea,delta_local,vs random,0.971875
Salvia carduacea,delta_local,vs co-occurring,0.6746875
Salvia carduacea,N,vs random,0.9946875
Salvia carduacea,N,vs co-occurring,0.94546875
Senna marilandica,delta,vs random,0.6134375
Senna marilandica,delta,vs co-occurring,0.49875
Senna marilandica,delta_local,vs random,0.6783125
Senna marilandica,delta_local,vs co-occurring,0.41549999999999987
Senna marilandica,N,vs random,0.7132500000000002
Senna marilandica,N,vs co-occurring,0.4554375
Liriodendron tulipifera,delta,vs random,0.821379625399726
Liriodendron tulipifera,delta,vs co-occurring,0.7569886363636363
Liriodendron tulipifera,delta_local,vs random,0.8896756509821837
Liriodendron tulipifera,delta_local,vs co-occurring,0.7848295454545454
Liriodendron tulipifera,N,vs random,0.9297053449063499
Liriodendron tulipifera,N,vs co-occurring,0.8709090909090909
Chimaphila umbellata,delta,vs random,0.9252777777777778
Chimaphila umbellata,delta,vs co-occurring,0.8519444444444444
Chimaphila umbellata,delta_local,vs random,0.9538888888888888
Chimaphila umbellata,delta_local,vs co-occurring,0.8975
Chimaphila umbellata,N,vs random,0.9908333333333335
Chimaphila umbellata,N,vs co-occurring,0.9919444444444445
Helianthus mollis,delta,vs random,0.7142708333333333
Helianthus mollis,delta,vs co-occurring,0.5703125
Helianthus mollis,delta_local,vs random,0.7754166666666666
Helianthus mollis,delta_local,vs co-occurring,0.53
Helianthus mollis,N,vs random,0.7898958333333332
Helianthus mollis,N,vs co-occurring,0.5443229166666667
Lupinus pusillus,delta,vs random,0.761
Lupinus pusillus,delta,vs co-occurring,0.558
Lupinus pusillus,delta_local,vs random,0.956
Lupinus pusillus,delta_local,vs co-occurring,0.5820000000000001
Lupinus pusillus,N,vs random,0.98
Lupinus pusillus,N,vs co-occurring,0.78075
Thermopsis montana,delta,vs random,0.8434999999999999
Thermopsis montana,delta,vs co-occurring,0.7428333333333333
Thermopsis montana,delta_local,vs random,0.9651666666666667
Thermopsis montana,delta_local,vs co-occurring,0.7831666666666666
Thermopsis montana,N,vs random,0.9855833333333334
Thermopsis montana,N,vs co-occurring,0.9228333333333334
Tragopogon dubius,delta,vs random,0.8294545888530851
Tragopogon dubius,delta,vs co-occurring,0.7848809523809525
Tragopogon dubius,delta_local,vs random,0.851891633846521
Tragopogon dubius,delta_local,vs co-occurring,0.7969047619047618
Tragopogon dubius,N,vs random,0.8663324979114453
Tragopogon dubius,N,vs co-occurring,0.8079761904761904
Portulaca pilosa,delta,vs random,0.8433583959899749
Portulaca pilosa,delta,vs co-occurring,0.7230000000000001
Portulaca pilosa,delta_local,vs random,0.943609022556391
Portulaca pilosa,delta_local,vs co-occurring,0.8425
Portulaca pilosa,N,vs random,0.9570175438596491
Portulaca pilosa,N,vs co-occurring,0.87675
Hibiscus laevis,delta,vs random,0.6521759259259259
Hibiscus laevis,delta,vs co-occurring,0.5339814814814815
Hibiscus laevis,delta_local,vs random,0.7797222222222222
Hibiscus laevis,delta_local,vs co-occurring,0.5056481481481482
Hibiscus laevis,N,vs random,0.8317129629629629
Hibiscus laevis,N,vs co-occurring,0.6447222222222222
Diapensia lapponica,delta,vs random,0.7671875
Diapensia lapponica,delta,vs co-occurring,0.4659375
Diapensia lapponica,delta_local,vs random,0.945
Diapensia lapponica,delta_local,vs co-occurring,0.5325
Diapensia lapponica,N,vs random,0.9770312499999999
Diapensia lapponica,N,vs co-occurring,0.826875
Sairocarpus coulterianus,delta,vs random,0.9575
Sairocarpus coulterianus,delta,vs co-occurring,0.9241666666666666
Sairocarpus coulterianus,delta_local,vs random,0.9891666666666666
Sairocarpus coulterianus,delta_local,vs co-occurring,0.965
Sairocarpus coulterianus,N,vs random,0.99875
Sairocarpus coulterianus,N,vs co-occurring,0.9925
Vernonia arkansana,delta,vs random,0.9346875000000001
Vernonia arkansana,delta,vs co-occurring,0.76671875
Vernonia arkansana,delta_local,vs random,0.97421875
Vernonia arkansana,delta_local,vs co-occurring,0.75953125
Vernonia arkansana,N,vs random,0.9825
Vernonia arkansana,N,vs co-occurring,0.84625
Liatris ligulistylis,delta,vs random,0.9341623288991711
Liatris ligulistylis,delta,vs co-occurring,0.8122115384615385
Liatris ligulistylis,delta_local,vs random,0.9259687680740313
Liatris ligulistylis,delta_local,vs co-occurring,0.73875
Liatris ligulistylis,N,vs random,0.9474166184692501
Liatris ligulistylis,N,vs co-occurring,0.8467788461538461
Fallugia paradoxa,delta,vs random,0.9042857142857142
Fallugia paradoxa,delta,vs co-occurring,0.8274107142857143
Fallugia paradoxa,delta_local,vs random,0.9748214285714286
Fallugia paradoxa,delta_local,vs co-occurring,0.9015178571428573
Fallugia paradoxa,N,vs random,0.9922321428571428
Fallugia paradoxa,N,vs co-occurring,0.9747321428571428
Centaurea cyanus,delta,vs random,0.8622786474382678
Centaurea cyanus,delta,vs co-occurring,0.8348360655737705
Centaurea cyanus,delta_local,vs random,0.8959694317761617
Centaurea cyanus,delta_local,vs co-occurring,0.8706147540983606
Centaurea cyanus,N,vs random,0.9509223879370557
Centaurea cyanus,N,vs co-occurring,0.9439549180327869
Astragalus douglasii,delta,vs random,0.8816271447850396
Astragalus douglasii,delta,vs co-occurring,0.7773076923076924
Astragalus douglasii,delta_local,vs random,0.9313668787352998
Astragalus douglasii,delta_local,vs co-occurring,0.6834615384615385
Astragalus douglasii,N,vs random,0.9509350298823984
Astragalus douglasii,N,vs co-occurring,0.8730769230769231
Cardamine diphylla,delta,vs random,0.8342857142857143
Cardamine diphylla,delta,vs co-occurring,0.7282142857142857
Cardamine diphylla,delta_local,vs random,0.9285714285714286
Cardamine diphylla,delta_local,vs co-occurring,0.8
Cardamine diphylla,N,vs random,0.8960714285714286
Cardamine diphylla,N,vs co-occurring,0.7060714285714286
Calochortus superbus,delta,vs random,0.95875
Calochortus superbus,delta,vs co-occurring,0.9225
Calochortus superbus,delta_local,vs random,0.9837499999999999
Calochortus superbus,delta_local,vs co-occurring,0.86875
Calochortus superbus,N,vs random,0.9949999999999999
Calochortus superbus,N,vs co-occurring,0.939375
Symphyotrichum adnatum,delta,vs random,0.835
Symphyotrichum adnatum,delta,vs co-occurring,0.4925
Symphyotrichum adnatum,delta_local,vs random,0.99375
Symphyotrichum adnatum,delta_local,vs co-occurring,0.91625
Symphyotrichum adnatum,N,vs random,0.98
Symphyotrichum adnatum,N,vs co-occurring,0.8875000000000001
Atriplex canescens,delta,vs random,0.8045112781954887
Atriplex canescens,delta,vs co-occurring,0.734375
Atriplex canescens,delta_local,vs random,0.9486215538847118
Atriplex canescens,delta_local,vs co-occurring,0.8804166666666666
Atriplex canescens,N,vs random,0.9933166248955723
Atriplex canescens,N,vs co-occurring,0.9846874999999999
Nabalus racemosus,delta,vs random,0.9635
Nabalus racemosus,delta,vs co-occurring,0.8805000000000001
Nabalus racemosus,delta_local,vs random,0.975
Nabalus racemosus,delta_local,vs co-occurring,0.859
Nabalus racemosus,N,vs random,0.99725
Nabalus racemosus,N,vs co-occurring,0.9822500000000001
Galanthus nivalis,delta,vs random,0.8065909090909091
Galanthus nivalis,delta,vs co-occurring,0.7597727272727273
Galanthus nivalis,delta_local,vs random,0.889090909090909
Galanthus nivalis,delta_local,vs co-occurring,0.7913636363636364
Galanthus nivalis,N,vs random,0.9445454545454546
Galanthus nivalis,N,vs co-occurring,0.8620454545454546
Vitis rotundifolia,delta,vs random,0.91125
Vitis rotundifolia,delta,vs co-occurring,0.8306250000000001
Vitis rotundifolia,delta_local,vs random,0.90875
Vitis rotundifolia,delta_local,vs co-occurring,0.77125
Vitis rotundifolia,N,vs random,0.9974999999999999
Vitis rotundifolia,N,vs co-occurring,1.0
Arctostaphylos hookeri,delta,vs random,0.9833333333333334
Arctostaphylos hookeri,delta,vs co-occurring,0.8591666666666667
Arctostaphylos hookeri,delta_local,vs random,1.0
Arctostaphylos hookeri,delta_local,vs co-occurring,0.8108333333333333
Arctostaphylos hookeri,N,vs random,0.9974999999999999
Arctostaphylos hookeri,N,vs co-occurring,0.80125
Holocarpha virgata,delta,vs random,0.9287500000000001
Holocarpha virgata,delta,vs co-occurring,0.89
Holocarpha virgata,delta_local,vs random,0.995
Holocarpha virgata,delta_local,vs co-occurring,0.9675
Holocarpha virgata,N,vs random,1.0
Holocarpha virgata,N,vs co-occurring,0.9725
Quercus phellos,delta,vs random,0.8448082843548839
Quercus phellos,delta,vs co-occurring,0.683888888888889
Quercus phellos,delta_local,vs random,0.8939266722642037
Quercus phellos,delta_local,vs co-occurring,0.6545833333333333
Quercus phellos,N,vs random,0.9797089280716484
Quercus phellos,N,vs co-occurring,0.9428472222222223
Euphorbia oblongata,delta,vs random,0.9255555555555556
Euphorbia oblongata,delta,vs co-occurring,0.8130555555555555
Euphorbia oblongata,delta_local,vs random,0.8486111111111111
Euphorbia oblongata,delta_local,vs co-occurring,0.6441666666666667
Euphorbia oblongata,N,vs random,0.8561111111111112
Euphorbia oblongata,N,vs co-occurring,0.6973611111111111
Bidens aristosa,delta,vs random,0.8415806959258612
Bidens aristosa,delta,vs co-occurring,0.7387790697674418
Bidens aristosa,delta_local,vs random,0.8858191991606924
Bidens aristosa,delta_local,vs co-occurring,0.7511046511627907
Bidens aristosa,N,vs random,0.9019642128577257
Bidens aristosa,N,vs co-occurring,0.7830523255813953
Salix commutata,delta,vs random,0.805
Salix commutata,delta,vs co-occurring,0.5862499999999999
Salix commutata,delta_local,vs random,0.985
Salix commutata,delta_local,vs co-occurring,0.57375
Salix commutata,N,vs random,0.9924999999999999
Salix commutata,N,vs co-occurring,0.918125
Teucrium cubense,delta,vs random,0.9775
Teucrium cubense,delta,vs co-occurring,0.9208333333333333
Teucrium cubense,delta_local,vs random,0.9933333333333333
Teucrium cubense,delta_local,vs co-occurring,0.9216666666666667
Teucrium cubense,N,vs random,0.9924999999999999
Teucrium cubense,N,vs co-occurring,0.9658333333333333
Collinsia verna,delta,vs random,0.6355999999999999
Collinsia verna,delta,vs co-occurring,0.45865
Collinsia verna,delta_local,vs random,0.6904
Collinsia verna,delta_local,vs co-occurring,0.3713
Collinsia verna,N,vs random,0.71175
Collinsia verna,N,vs co-occurring,0.43965
Viola lobata,delta,vs random,0.78375
Viola lobata,delta,vs co-occurring,0.5687500000000001
Viola lobata,delta_local,vs random,0.98125
Viola lobata,delta_local,vs co-occurring,0.87375
Viola lobata,N,vs random,0.99125
Viola lobata,N,vs co-occurring,0.95625
Menyanthes trifoliata,delta,vs random,0.7932142857142858
Menyanthes trifoliata,delta,vs co-occurring,0.6496428571428572
Menyanthes trifoliata,delta_local,vs random,0.8596428571428572
Menyanthes trifoliata,delta_local,vs co-occurring,0.6442857142857144
Menyanthes trifoliata,N,vs random,0.9319642857142857
Menyanthes trifoliata,N,vs co-occurring,0.8267857142857142
Salvia coccinea,delta,vs random,0.9131944444444444
Salvia coccinea,delta,vs co-occurring,0.8506018518518518
Salvia coccinea,delta_local,vs random,0.9697685185185184
Salvia coccinea,delta_local,vs co-occurring,0.9234722222222221
Salvia coccinea,N,vs random,0.9738425925925925
Salvia coccinea,N,vs co-occurring,0.9304398148148149
Pseudognaphalium californicum,delta,vs random,0.8754166666666666
Pseudognaphalium californicum,delta,vs co-occurring,0.8033333333333332
Pseudognaphalium californicum,delta_local,vs random,0.9641666666666668
Pseudognaphalium californicum,delta_local,vs co-occurring,0.8291666666666666
Pseudognaphalium californicum,N,vs random,0.9923958333333333
Pseudognaphalium californicum,N,vs co-occurring,0.9620833333333333
Rudbeckia hirta,delta,vs random,0.8782692174635024
Rudbeckia hirta,delta,vs co-occurring,0.8353187919463088
Rudbeckia hirta,delta_local,vs random,0.8659231647408842
Rudbeckia hirta,delta_local,vs co-occurring,0.8081543624161074
Rudbeckia hirta,N,vs random,0.9306242648585069
Rudbeckia hirta,N,vs co-occurring,0.8928691275167785
Hamelia patens,delta,vs random,0.897987012987013
Hamelia patens,delta,vs co-occurring,0.7610064935064935
Hamelia patens,delta_local,vs random,0.9821103896103897
Hamelia patens,delta_local,vs co-occurring,0.8705194805194805
Hamelia patens,N,vs random,0.9911201298701299
Hamelia patens,N,vs co-occurring,0.9357792207792208
Balsamorhiza hookeri,delta,vs random,0.8095
Balsamorhiza hookeri,delta,vs co-occurring,0.5935
Balsamorhiza hookeri,delta_local,vs random,0.97
Balsamorhiza hookeri,delta_local,vs co-occurring,0.557
Balsamorhiza hookeri,N,vs random,0.9967499999999999
Balsamorhiza hookeri,N,vs co-occurring,0.981
Ulmus rubra,delta,vs random,0.52
Ulmus rubra,delta,vs co-occurring,0.3414583333333333
Ulmus rubra,delta_local,vs random,0.7137500000000001
Ulmus rubra,delta_local,vs co-occurring,0.3183333333333333
Ulmus rubra,N,vs random,0.7956250000000001
Ulmus rubra,N,vs co-occurring,0.5570833333333334
Ehretia anacua,delta,vs random,0.9458333333333333
Ehretia anacua,delta,vs co-occurring,0.7999999999999998
Ehretia anacua,delta_local,vs random,0.9866666666666666
Ehretia anacua,delta_local,vs co-occurring,0.8891666666666667
Ehretia anacua,N,vs random,0.9983333333333333
Ehretia anacua,N,vs co-occurring,0.9979166666666667
Stanleya pinnata,delta,vs random,0.8944444444444444
Stanleya pinnata,delta,vs co-occurring,0.8168055555555556
Stanleya pinnata,delta_local,vs random,0.9658333333333333
Stanleya pinnata,delta_local,vs co-occurring,0.8327777777777778
Stanleya pinnata,N,vs random,0.9827083333333333
Stanleya pinnata,N,vs co-occurring,0.9282638888888889
Salvia leucophylla,delta,vs random,0.947857448499297
Salvia leucophylla,delta,vs co-occurring,0.8540853658536586
Salvia leucophylla,delta_local,vs random,0.9853291766000366
Salvia leucophylla,delta_local,vs co-occurring,0.8355487804878049
Salvia leucophylla,N,vs random,0.9948346475945962
Salvia leucophylla,N,vs co-occurring,0.9403963414634146
Mertensia virginica,delta,vs random,0.7736141304347827
Mertensia virginica,delta,vs co-occurring,0.6845380434782609
Mertensia virginica,delta_local,vs random,0.8656521739130434
Mertensia virginica,delta_local,vs co-occurring,0.7001630434782609
Mertensia virginica,N,vs random,0.9225271739130435
Mertensia virginica,N,vs co-occurring,0.8268206521739131
Quercus stellata,delta,vs random,0.8066666666666666
Quercus stellata,delta,vs co-occurring,0.6711111111111111
Quercus stellata,delta_local,vs random,0.8844444444444444
Quercus stellata,delta_local,vs co-occurring,0.6625
Quercus stellata,N,vs random,0.9733333333333333
Quercus stellata,N,vs co-occurring,0.8995833333333333
Lotus corniculatus,delta,vs random,0.8605926724137931
Lotus corniculatus,delta,vs co-occurring,0.8519504310344828
Lotus corniculatus,delta_local,vs random,0.8535775862068966
Lotus corniculatus,delta_local,vs co-occurring,0.8310129310344828
Lotus corniculatus,N,vs random,0.9285883620689657
Lotus corniculatus,N,vs co-occurring,0.9022413793103449
Lomatium dasycarpum,delta,vs random,0.9514583333333333
Lomatium dasycarpum,delta,vs co-occurring,0.8966666666666667
Lomatium dasycarpum,delta_local,vs random,0.9793749999999999
Lomatium dasycarpum,delta_local,vs co-occurring,0.900625
Lomatium dasycarpum,N,vs random,0.9915624999999999
Lomatium dasycarpum,N,vs co-occurring,0.9453125
Primula hendersonii,delta,vs random,0.8896875000000001
Primula hendersonii,delta,vs co-occurring,0.8103125000000001
Primula hendersonii,delta_local,vs random,0.9565625
Primula hendersonii,delta_local,vs co-occurring,0.804375
Primula hendersonii,N,vs random,0.9971875
Primula hendersonii,N,vs co-occurring,0.978125
Quercus virginiana,delta,vs random,0.9241666666666667
Quercus virginiana,delta,vs co-occurring,0.7975000000000001
Quercus virginiana,delta_local,vs random,0.955
Quercus virginiana,delta_local,vs co-occurring,0.8816666666666666
Quercus virginiana,N,vs random,0.9870833333333333
Quercus virginiana,N,vs co-occurring,0.9275
Mirabilis laevis,delta,vs random,0.8676470588235294
Mirabilis laevis,delta,vs co-occurring,0.8098529411764706
Mirabilis laevis,delta_local,vs random,0.9502941176470588
Mirabilis laevis,delta_local,vs co-occurring,0.7867647058823529
Mirabilis laevis,N,vs random,0.9758088235294118
Mirabilis laevis,N,vs co-occurring,0.8777941176470588
Paspalum notatum,delta,vs random,0.9304511278195489
Paspalum notatum,delta,vs co-occurring,0.82
Paspalum notatum,delta_local,vs random,0.9718045112781956
Paspalum notatum,delta_local,vs co-occurring,0.8587499999999999
Paspalum notatum,N,vs random,0.9943609022556392
Paspalum notatum,N,vs co-occurring,0.9803125
Cirsium undulatum,delta,vs random,0.8990816326530612
Cirsium undulatum,delta,vs co-occurring,0.8295918367346937
Cirsium undulatum,delta_local,vs random,0.891530612244898
Cirsium undulatum,delta_local,vs co-occurring,0.7914285714285714
Cirsium undulatum,N,vs random,0.8976785714285715
Cirsium undulatum,N,vs co-occurring,0.8013520408163265
Helminthotheca echioides,delta,vs random,0.8829545454545454
Helminthotheca echioides,delta,vs co-occurring,0.8075
Helminthotheca echioides,delta_local,vs random,0.9608181818181817
Helminthotheca echioides,delta_local,vs co-occurring,0.8360000000000001
Helminthotheca echioides,N,vs random,0.9712045454545454
Helminthotheca echioides,N,vs co-occurring,0.9205454545454546
Crataegus crus-galli,delta,vs random,0.5784197335443872
Crataegus crus-galli,delta,vs co-occurring,0.3975
Crataegus crus-galli,delta_local,vs random,0.6813744888537132
Crataegus crus-galli,delta_local,vs co-occurring,0.3910526315789474
Crataegus crus-galli,N,vs random,0.7404695950402322
Crataegus crus-galli,N,vs co-occurring,0.5208552631578947
Platanthera ciliaris,delta,vs random,0.9345833333333333
Platanthera ciliaris,delta,vs co-occurring,0.89
Platanthera ciliaris,delta_local,vs random,0.9366666666666668
Platanthera ciliaris,delta_local,vs co-occurring,0.8887499999999999
Platanthera ciliaris,N,vs random,0.99
Platanthera ciliaris,N,vs co-occurring,0.9672916666666667
Viburnum acerifolium,delta,vs random,0.8209998680912808
Viburnum acerifolium,delta,vs co-occurring,0.7986842105263158
Viburnum acerifolium,delta_local,vs random,0.8459306160137186
Viburnum acerifolium,delta_local,vs co-occurring,0.7575
Viburnum acerifolium,N,vs random,0.9174910961614563
Viburnum acerifolium,N,vs co-occurring,0.863421052631579
Yucca campestris,delta,vs random,0.8021428571428572
Yucca campestris,delta,vs co-occurring,0.5328571428571429
Yucca campestris,delta_local,vs random,0.9878571428571428
Yucca campestris,delta_local,vs co-occurring,0.7321428571428572
Yucca campestris,N,vs random,0.9923214285714286
Yucca campestris,N,vs co-occurring,0.8592857142857143
Erodium cicutarium,delta,vs random,0.8958876783796225
Erodium cicutarium,delta,vs co-occurring,0.873061224489796
Erodium cicutarium,delta_local,vs random,0.9198506470257276
Erodium cicutarium,delta_local,vs co-occurring,0.8891836734693878
Erodium cicutarium,N,vs random,0.9506419108996983
Erodium cicutarium,N,vs co-occurring,0.9310459183673468
Physocarpus intermedius,delta,vs random,0.8784461152882206
Physocarpus intermedius,delta,vs co-occurring,0.65125
Physocarpus intermedius,delta_local,vs random,0.9489348370927319
Physocarpus intermedius,delta_local,vs co-occurring,0.6653125
Physocarpus intermedius,N,vs random,0.9597431077694236
Physocarpus intermedius,N,vs co-occurring,0.80578125
Sedum divergens,delta,vs random,0.9266666666666665
Sedum divergens,delta,vs co-occurring,0.815
Sedum divergens,delta_local,vs random,0.9841666666666666
Sedum divergens,delta_local,vs co-occurring,0.8083333333333333
Sedum divergens,N,vs random,0.9991666666666666
Sedum divergens,N,vs co-occurring,0.97375
Aesculus californica,delta,vs random,0.8925000000000001
Aesculus californica,delta,vs co-occurring,0.8133695652173913
Aesculus californica,delta_local,vs random,0.9533695652173912
Aesculus californica,delta_local,vs co-occurring,0.8147826086956521
Aesculus californica,N,vs random,0.9684239130434782
Aesculus californica,N,vs co-occurring,0.9314402173913043
Eriogonum gracile,delta,vs random,0.925
Eriogonum gracile,delta,vs co-occurring,0.8781249999999999
Eriogonum gracile,delta_local,vs random,0.9775
Eriogonum gracile,delta_local,vs co-occurring,0.833125
Eriogonum gracile,N,vs random,0.9909375
Eriogonum gracile,N,vs co-occurring,0.95
Ericameria parishii,delta,vs random,0.90125
Ericameria parishii,delta,vs co-occurring,0.83075
Ericameria parishii,delta_local,vs random,0.985
Ericameria parishii,delta_local,vs co-occurring,0.8712500000000001
Ericameria parishii,N,vs random,0.994875
Ericameria parishii,N,vs co-occurring,0.968
Opuntia cymochila,delta,vs random,0.8524999999999999
Opuntia cymochila,delta,vs co-occurring,0.6575
Opuntia cymochila,delta_local,vs random,0.6975
Opuntia cymochila,delta_local,vs co-occurring,0.4925
Opuntia cymochila,N,vs random,0.6937500000000001
Opuntia cymochila,N,vs co-occurring,0.476875
Adelinia grandis,delta,vs random,0.9668749999999999
Adelinia grandis,delta,vs co-occurring,0.9165625
Adelinia grandis,delta_local,vs random,0.9912500000000001
Adelinia grandis,delta_local,vs co-occurring,0.9303125000000001
Adelinia grandis,N,vs random,0.9984375000000001
Adelinia grandis,N,vs co-occurring,0.97640625
Euphorbia cyparissias,delta,vs random,0.8547884863674339
Euphorbia cyparissias,delta,vs co-occurring,0.7237878787878788
Euphorbia cyparissias,delta_local,vs random,0.8885850991114149
Euphorbia cyparissias,delta_local,vs co-occurring,0.7166666666666668
Euphorbia cyparissias,N,vs random,0.9750512645249487
Euphorbia cyparissias,N,vs co-occurring,0.9346969696969697
Comptonia peregrina,delta,vs random,0.8815000000000001
Comptonia peregrina,delta,vs co-occurring,0.76
Comptonia peregrina,delta_local,vs random,0.9465
Comptonia peregrina,delta_local,vs co-occurring,0.8165
Comptonia peregrina,N,vs random,0.93675
Comptonia peregrina,N,vs co-occurring,0.805
Pycnanthemum tenuifolium,delta,vs random,0.9099604535925291
Pycnanthemum tenuifolium,delta,vs co-occurring,0.8231485849056603
Pycnanthemum tenuifolium,delta_local,vs random,0.9314012769201447
Pycnanthemum tenuifolium,delta_local,vs co-occurring,0.8163325471698113
Pycnanthemum tenuifolium,N,vs random,0.9513174194777968
Pycnanthemum tenuifolium,N,vs co-occurring,0.8720047169811321
Lobelia inflata,delta,vs random,0.7168367346938775
Lobelia inflata,delta,vs co-occurring,0.6708482142857143
Lobelia inflata,delta_local,vs random,0.7940386680988184
Lobelia inflata,delta_local,vs co-occurring,0.6414285714285715
Lobelia inflata,N,vs random,0.7965449337629789
Lobelia inflata,N,vs co-occurring,0.6424107142857143
Ipomoea purpurea,delta,vs random,0.7559459459459461
Ipomoea purpurea,delta,vs co-occurring,0.6515878378378379
Ipomoea purpurea,delta_local,vs random,0.7762162162162162
Ipomoea purpurea,delta_local,vs co-occurring,0.6331756756756758
Ipomoea purpurea,N,vs random,0.8374662162162162
Ipomoea purpurea,N,vs co-occurring,0.750777027027027
Camassia scilloides,delta,vs random,0.7014843749999999
Camassia scilloides,delta,vs co-occurring,0.5726171875
Camassia scilloides,delta_local,vs random,0.7694531250000001
Camassia scilloides,delta_local,vs co-occurring,0.54046875
Camassia scilloides,N,vs random,0.8463671875000001
Camassia scilloides,N,vs co-occurring,0.7184765625
Justicia californica,delta,vs random,0.9262500000000001
Justicia californica,delta,vs co-occurring,0.8491666666666666
Justicia californica,delta_local,vs random,0.9839583333333333
Justicia californica,delta_local,vs co-occurring,0.8685416666666668
Justicia californica,N,vs random,0.9947916666666666
Justicia californica,N,vs co-occurring,0.9646354166666667
Senecio vulgaris,delta,vs random,0.8890625
Senecio vulgaris,delta,vs co-occurring,0.816875
Senecio vulgaris,delta_local,vs random,0.916875
Senecio vulgaris,delta_local,vs co-occurring,0.8378125
Senecio vulgaris,N,vs random,0.95171875
Senecio vulgaris,N,vs co-occurring,0.9365625
Hibiscus syriacus,delta,vs random,0.880204081632653
Hibiscus syriacus,delta,vs co-occurring,0.8343877551020408
Hibiscus syriacus,delta_local,vs random,0.8929081632653062
Hibiscus syriacus,delta_local,vs co-occurring,0.8246428571428571
Hibiscus syriacus,N,vs random,0.951173469387755
Hibiscus syriacus,N,vs co-occurring,0.9328061224489796
Sedum stenopetalum,delta,vs random,0.83575
Sedum stenopetalum,delta,vs co-occurring,0.6915
Sedum stenopetalum,delta_local,vs random,0.91675
Sedum stenopetalum,delta_local,vs co-occurring,0.6545
Sedum stenopetalum,N,vs random,0.93625
Sedum stenopetalum,N,vs co-occurring,0.8108750000000001
Spiraea lucida,delta,vs random,0.9775
Spiraea lucida,delta,vs co-occurring,0.9083333333333332
Spiraea lucida,delta_local,vs random,0.985
Spiraea lucida,delta_local,vs co-occurring,0.9358333333333334
Spiraea lucida,N,vs random,0.9974999999999999
Spiraea lucida,N,vs co-occurring,0.9724999999999999
Chaenactis glabriuscula,delta,vs random,0.8771428571428572
Chaenactis glabriuscula,delta,vs co-occurring,0.8361904761904762
Chaenactis glabriuscula,delta_local,vs random,0.9462202380952383
Chaenactis glabriuscula,delta_local,vs co-occurring,0.8093452380952382
Chaenactis glabriuscula,N,vs random,0.9715178571428572
Chaenactis glabriuscula,N,vs co-occurring,0.8898511904761904
Romulea rosea,delta,vs random,0.975
Romulea rosea,delta,vs co-occurring,0.9225
Romulea rosea,delta_local,vs random,0.99375
Romulea rosea,delta_local,vs co-occurring,0.9112499999999999
Romulea rosea,N,vs random,0.9968750000000001
Romulea rosea,N,vs co-occurring,0.965625
Delphinium variegatum,delta,vs random,0.87
Delphinium variegatum,delta,vs co-occurring,0.7374999999999999
Delphinium variegatum,delta_local,vs random,0.9758333333333333
Delphinium variegatum,delta_local,vs co-occurring,0.7699999999999999
Delphinium variegatum,N,vs random,1.0
Delphinium variegatum,N,vs co-occurring,0.9937499999999999
Gutierrezia microcephala,delta,vs random,0.8325
Gutierrezia microcephala,delta,vs co-occurring,0.7308333333333333
Gutierrezia microcephala,delta_local,vs random,0.9683333333333333
Gutierrezia microcephala,delta_local,vs co-occurring,0.8291666666666666
Gutierrezia microcephala,N,vs random,0.9433333333333334
Gutierrezia microcephala,N,vs co-occurring,0.7366666666666666
Fouquieria splendens,delta,vs random,0.9261538461538461
Fouquieria splendens,delta,vs co-occurring,0.8882692307692307
Fouquieria splendens,delta_local,vs random,0.9290384615384617
Fouquieria splendens,delta_local,vs co-occurring,0.8360576923076922
Fouquieria splendens,N,vs random,0.9400961538461539
Fouquieria splendens,N,vs co-occurring,0.8898076923076923
Helianthus giganteus,delta,vs random,0.9409000000000001
Helianthus giganteus,delta,vs co-occurring,0.8553999999999999
Helianthus giganteus,delta_local,vs random,0.9589
Helianthus giganteus,delta_local,vs co-occurring,0.8433
Helianthus giganteus,N,vs random,0.9665499999999999
Helianthus giganteus,N,vs co-occurring,0.85475
Oxalis californica,delta,vs random,0.96
