contrast,mean,lo,hi
real-base,0.03199616828337244,0.025422299002079204,0.03893808237196641
permuted-base,-0.0008959624185945797,-0.0014290865245536605,-0.00040482336055056587
real-permuted,0.03289213070196702,0.02634961222228432,0.03976916144547541
