variant,curves,delta,head,recall@10,lo,hi,recall@50,hit@10,pooled_PR,t1_recall@10
curves+delta,True,both,retrieval,0.2525625294900375,0.2303193714329099,0.27408853736746525,0.5399219794980752,0.7269439421338155,0.8611026251224227,0.45694956666048436
curves+delta,True,both,compatibility,0.25584482425154653,0.2337728301816821,0.27807865815265415,0.5395233049762054,0.7323688969258589,0.8581875404515014,0.49814192937193585
curves_only,True,none,retrieval,0.25385425362614034,0.23171599256887263,0.27652961309127777,0.5344711230427533,0.7233273056057866,0.8609191372051497,0.4799808613765141
curves_only,True,none,compatibility,0.2571993964877382,0.2349073081195413,0.2805210478064729,0.5425936770234955,0.7197106690777577,0.8603956337088803,0.5003724914775035
delta_only,False,both,retrieval,0.2436993286298389,0.2221909240539254,0.2651174041228947,0.4992542674109975,0.6925858951175407,0.8548626403509515,0.4790845355380967
delta_only,False,both,compatibility,0.23509436136856274,0.21307509947485234,0.25650093903892923,0.43109988905050756,0.6528028933092225,0.8362781619114996,0.45967979223732414
no_temporal,False,none,retrieval,0.24357347626532053,0.22122830610363642,0.266400620410682,0.5103314453796663,0.6871609403254972,0.8577987133602881,0.5060164142577468
no_temporal,False,none,compatibility,0.23663404971783855,0.21526536744652428,0.25834625962568186,0.48587569693674365,0.6763110307414105,0.8518124278683323,0.5030291449643828
