arm,tercile,r10,lo,hi,n
base,0,0.04499941814457944,0.02202577328585393,0.07209763243029371,155
base,1,0.10659735614096669,0.08072964689005932,0.13909226571202565,261
base,2,0.2936624036808968,0.2645868784427187,0.3215711648476092,501
base+GBIF,0,0.03594795885118466,0.015950024437927663,0.06160938881906623,155
base+GBIF,1,0.10105809759671838,0.07356346424181942,0.13243709296799455,261
base+GBIF,2,0.30668758680369773,0.2775322755534546,0.33446291145401963,501
base+SDM,0,0.030814830330959365,0.014461946655495043,0.05064605152911604,155
base+SDM,1,0.09220481826225808,0.06574470430214412,0.1219049073214757,261
base+SDM,2,0.3097680374684527,0.2795215218174337,0.33642335137014856,501
