model,binary,log n_records,curated-weighted
N only,0.153320372023594,0.12783234518302228,0.1251970406801038
N+tax+localD,0.28690175139836216,0.2669885388982614,0.25370328409274234
GBM geo,0.3278241526621553,0.3016096196083659,0.3111980680383147
degree null,0.1393493820767479,0.10911093898679416,0.10387178447626703
