model,recall@10,lo,hi,norm_recall@10,recall@50,hit@10,t1_recall@10
gbm_geo_tuned,0.24540113727925597,0.22051935244052592,0.2700814933211095,0.3504951347627659,0.491355366435613,0.6998191681735986,0.47109809727147434
twotower_bioclip,0.2612005946949933,0.23776471517700384,0.2869070868187493,0.3649889491661643,0.5462194455189194,0.7359855334538878,0.47456483691791396
ens_rank_avg,0.2770878080812714,0.2507379205354746,0.3024376291912954,0.39387252791411925,0.5523746417469663,0.7414104882459313,0.503825663754806
ens_score_z,0.2533284925835259,0.2275361272491228,0.2774334529777948,0.36377263985763086,0.5146404867430945,0.7142857142857143,0.49613873494945604
