variant,head,recall@10,lo,hi,pooled_PR
no_temporal,retrieval,0.2340291544416487,0.21181487145813085,0.255405728623149,0.8583555214371383
no_temporal,compatibility,0.24805074224383916,0.22522143605464534,0.27080775916744015,0.8562826183796403
summaries_only,retrieval,0.23452176170613623,0.21364565848875716,0.2556917608389274,0.8627893244290157
summaries_only,compatibility,0.2321390909924045,0.21293860004100407,0.25295594342687366,0.8566908447963393
curves_only,retrieval,0.24397960513803846,0.22184615085345297,0.2672359105634324,0.864495398401246
curves_only,compatibility,0.2501075923808014,0.2269965458462674,0.27269653605640937,0.8575391229771356
curves+summaries,retrieval,0.23943059061194527,0.21850897726493904,0.2616928190850763,0.8633481806692114
curves+summaries,compatibility,0.23961379551575673,0.21947151746679575,0.2611919559753551,0.857379560640412
