family,auc_mean,auc_std,dims
vp (pollinator PCA-15),0.8186395774288749,0.006366604312616198,15
vf (plant PCA-15),0.6933726980583239,0.023892533720386445,15
bioclip_poll (512D),0.9137808502588968,0.003718814265772372,512
n_only,0.6809911801926989,0.01745327134901427,1
delta+local,0.6582998740944073,0.005788230139856592,2
range_sizes,0.6546871217331407,0.006915869337712038,2
taxonomy_affinity,0.6214290214339229,0.017861772000012866,4
all_dense,0.9245539330487273,0.0047660602499508,542
