arm,r10,lo,hi
base (N+tax+ranges),0.262220578170861,0.23493394168922066,0.2888950175912365
base + GBIF temporal,0.26957290243184917,0.24261857335059123,0.29474791186718974
base + SDM temporal,0.26729288277523416,0.23958372397290803,0.29278575829160314
base + both,0.2591680618661121,0.23155565074400375,0.28389456454771844
