model,eval,n_plants,recall@10,lo,hi
gbm_geo,all,553,0.23570554429381457,0.21213915955196536,0.2594052982346784
rank_n,all,553,0.11710165121343227,0.10053471814711744,0.13378253092502546
rank_n_tax,all,553,0.19881299949732126,0.17902829350443047,0.2209505226410237
rank_n_tax_ldelta,all,553,0.2085048749609974,0.18755039270098034,0.23297081761115498
gbm_geo,t1,222,0.4701897410286662,0.4193433884082619,0.5233909677838905
rank_n,t1,222,0.11618596098794341,0.08404828359112557,0.15293886286750827
rank_n_tax,t1,222,0.3042927022823902,0.2614584222598517,0.3546163818213068
rank_n_tax_ldelta,t1,222,0.3024807418810336,0.2598226923730747,0.3525061468275468
