family,n_plants_curated,n_plants_inat,rank_n_ratio,rank_vp_only_ratio,rank_n_tax_ldelta_ratio,gbm_geo_ratio
Apidae,212,303,0.8213954933511769,0.6532992380439422,0.8405310547006565,0.8831190209327999
Halictidae,67,129,0.4681053262042916,0.5612969792361995,0.6897891250880525,0.8052634076465324
Megachilidae,53,85,0.11806530776603306,0.18399936277146497,0.35854938416465565,0.414465458662738
Syrphidae,51,191,0.277072582182471,0.4924087020834953,0.4383950711849687,0.4257301503727944
Andrenidae,50,70,0.4100687569183926,0.3160514484687216,0.42557509695740003,0.7287531202606613
Crabronidae,29,45,0.3231406909337955,0.39265804729234716,0.6056696472233377,0.5274080078615889
Cerambycidae,26,61,0.018941326247709958,0.04163186511405702,0.5101371772352636,0.9341383683342773
Colletidae,25,46,0.4272471655328798,0.22872067714631197,0.5467166042446941,0.8654472361809044
