plant,degree,genus_seen,r10_rank_n,hit_rank_n,r10_rank_tax,hit_rank_tax,r10_rank_n_tax,hit_rank_n_tax,r10_rank_n_tax_ldelta,hit_rank_n_tax_ldelta,r10_rank_full_tax,hit_rank_full_tax,r10_hyb_n_tax,hit_hyb_n_tax,r10_hyb_n_ldelta,hit_hyb_n_ldelta,r10_hyb_n_tax_ldelta,hit_hyb_n_tax_ldelta
Cirsium undulatum,49,True,0.04081632653061224,1.0,0.10204081632653061,1.0,0.10204081632653061,1.0,0.10204081632653061,1.0,0.12244897959183673,1.0,0.04081632653061224,1.0,0.04081632653061224,1.0,0.04081632653061224,1.0
Clarkia cylindrica,3,True,0.0,0.0,0.3333333333333333,1.0,0.3333333333333333,1.0,0.3333333333333333,1.0,0.3333333333333333,1.0,0.0,0.0,0.3333333333333333,1.0,0.3333333333333333,1.0
Clarkia rhomboidea,4,True,0.0,0.0,0.5,1.0,0.5,1.0,0.5,1.0,0.5,1.0,0.25,1.0,0.0,0.0,0.0,0.0
Claytonia gypsophiloides,1,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Claytonia perfoliata,21,True,0.047619047619047616,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.047619047619047616,1.0,0.047619047619047616,1.0,0.047619047619047616,1.0
Claytonia sibirica,10,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Clematis virginiana,139,True,0.04316546762589928,1.0,0.03597122302158273,1.0,0.03597122302158273,1.0,0.03597122302158273,1.0,0.04316546762589928,1.0,0.050359712230215826,1.0,0.04316546762589928,1.0,0.04316546762589928,1.0
Cliftonia monophylla,1,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Clinopodium chandleri,1,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cochemiea dioica,3,False,0.3333333333333333,1.0,0.3333333333333333,1.0,0.3333333333333333,1.0,0.6666666666666666,1.0,0.3333333333333333,1.0,0.3333333333333333,1.0,0.0,0.0,0.0,0.0
