model,recall@10,nrecall@10,ndcg@10,map,mrr,hit@10,median_rank_first
N only,0.11710165121343227,0.18160753752977984,0.15332037202359397,0.0955924722905997,0.24961452992430339,0.5045207956600362,10.0
N+tax+localD,0.2085048749609974,0.30148396911507214,0.28690175139836216,0.18684972160245467,0.453197914910026,0.6582278481012658,3.0
GBM geo,0.24540113727925597,0.3504951347627659,0.3278241526621553,0.21990116379444358,0.5002329475736609,0.6998191681735986,3.0
degree null,0.0796097124174358,0.13433508424466833,0.1393493820767479,0.06962469576456645,0.2837964410127032,0.45750452079566006,12.0
