model,recall@10,lo,hi,recall@50,hit@10,t1_recall@10
abundance null (obs counts),0.0511651499252071,0.04169536425817147,0.0617707620332639,0.24147577133803522,0.3887884267631103,0.058164927882091315
congeneric transfer,0.20933681478736962,0.1875446072052026,0.23308830450528636,0.39623440079321776,0.6528028933092225,0.33672928175519234
latent-trait SVD (k=32),0.2034502381695971,0.18057937251046302,0.22506526683731706,0.3995723830225735,0.6473779385171791,0.3620222266079964
