model,r10,lo,hi,hym_cur,hym_inat,ratio
unweighted,0.2612005946949933,0.23776471517700384,0.2869070868187493,0.5387339400918657,0.4619053408293186,1.1663297486983084
reweighted_to_curated,0.1665319012696944,0.14599766951794552,0.18816748416707935,0.4689029035850815,0.33275957969723285,1.4091341983654417
ess_matched_subsample,0.2388154049186834,0.2153737589246878,0.2632305630963232,0.5122970343879657,0.4287071589107938,1.1949812914007472
