model,recall@10,r10_lo,r10_hi,recall@50,hit@10,pr_auc_pooled
rank_n,0.11710165121343227,0.10053471814711744,0.13378253092502546,0.3437801794595691,0.5045207956600362,0.5011218897656914
rank_ldelta,0.022132240249155114,0.014470637524163367,0.031409837156580925,0.08087523097717578,0.16636528028933092,0.35873359482191974
rank_n_ldelta,0.08838536436465276,0.07375344267182249,0.10381697962798349,0.23666558304695826,0.45750452079566006,0.5277007339813005
rank_scalar_local,0.07905469501450142,0.06660821321110345,0.09162226515137013,0.2670578780347131,0.45569620253164556,0.6537379713381652
rank_full_local,0.0792776527521401,0.06675891326508951,0.09214098992836547,0.2710169113471943,0.45569620253164556,0.6547447754307317
clf_scalar_local,,,,,,0.6570534044824606
