model,recall@10,lo,hi,hit@10,r10_genus_seen,r10_genus_unseen
rank_n,0.11710165121343227,0.10053471814711744,0.13378253092502546,0.5045207956600362,0.11488038958097559,0.12397933537911296
rank_tax,0.17860039240025521,,,0.6021699819168174,0.19796518925944484,0.11864124360661629
rank_n_tax,0.19881299949732126,0.17902829350443047,0.2209505226410237,0.650994575045208,0.2055995137479238,0.17779994055841872
rank_n_tax_ldelta,0.2085048749609974,,,0.6582278481012658,0.21642053342535342,0.18399565097506543
rank_full_tax,0.1897077085816966,,,0.6184448462929476,0.2071277935356236,0.1357699640576856
hyb_n_tax,0.14072865890250214,0.12288236003748794,0.15854447667790758,0.5641952983725136,0.13696429240466296,0.1523842529476634
hyb_n_ldelta,0.12457171174371508,,,0.5334538878842676,0.12099184993666559,0.13565602459813486
hyb_n_tax_ldelta,0.12813137807827493,0.10996962132952978,0.145896654004984,0.538878842676311,0.12565506627992518,0.13579877312798017
