,10,50,100,500,1000
N,0.11710165121343227,0.3437801794595691,0.46872986761913016,0.7299021114875078,0.8121121056400341
N+Δ,0.08087737040144281,0.23186851717990395,0.32064681937156125,0.5609890611932347,0.6684277534049233
N+localΔ,0.08838536436465276,0.23666558304695826,0.33849184411865263,0.6336868352628866,0.7481989872332475
N+tax,0.19881299949732126,0.41118269161357784,0.523039907389011,0.7791859256285297,0.8605946408256341
N+tax+localΔ,0.2085048749609974,0.43124260823509636,0.542937297807822,0.7661212332431977,0.8359698990225437
