model,r10,lo,hi,hym_curated,hym_inat,ratio
no_bias_head,0.2612005946949933,0.23776471517700384,0.2869070868187493,0.5387339400918657,0.4619053408293186,1.1663297486983084
bias_head,0.23198247392425544,0.20909966934329532,0.25595000267051243,0.5280767541351575,0.4345363074247253,1.2152649735180903
bias_head_permuted,0.2573598943934348,0.23442039535629222,0.2825967326268679,0.5287565399643718,0.4648853559891807,1.1373912581937247
