variant,plant_input,delta,head,recall@10,lo,hi,recall@50,hit@10,pooled_PR,t1_recall@10
none,none,none,retrieval,0.24562578290324263,0.22403950942692086,0.26799692878495696,0.5373443643929381,0.7215189873417721,0.8580365119219432,0.4562678631359597
none,none,none,compatibility,0.2534335823309472,0.23147011036065482,0.2753253837197674,0.5252450876064187,0.7124773960216998,0.8559659859193809,0.4925887443993304
curve,curve,none,retrieval,0.25385425362614034,0.23171599256887263,0.27652961309127777,0.5344711230427533,0.7233273056057866,0.8609191372051497,0.4799808613765141
curve,curve,none,compatibility,0.2571993964877382,0.2349073081195413,0.2805210478064729,0.5425936770234955,0.7197106690777577,0.8603956337088803,0.5003724914775035
trajectory,traj,none,retrieval,0.2471616868288003,0.226049039956928,0.2697054534986473,0.4962843319116479,0.705244122965642,0.8566636396731581,0.49128743838454997
trajectory,traj,none,compatibility,0.232949005497309,0.21205526937977304,0.25472599512953964,0.45104638984915874,0.6672694394213382,0.8503072438429827,0.4992291564294672
curve+trajectory,both,none,retrieval,0.23775869009610404,0.2159254541453077,0.2611301482427,0.5112898834670745,0.6799276672694394,0.8588663202521104,0.45106574824299367
curve+trajectory,both,none,compatibility,0.24852377950462326,0.22756138042771593,0.2721953148160651,0.4873951352962221,0.6817359855334539,0.8555159729962186,0.46237076376954883
