model,pr_auc,pr_lo,pr_hi,roc_auc,recall@10,r10_lo,r10_hi,recall@50,hit@10
degree_rank,0.5266612961490423,0.4996462929342898,0.5491888855901803,0.8663457507948802,0.0796097124174358,0.06706666067762226,0.09284062445999426,0.23306792688875574,0.45750452079566006
n_only,0.5011218897656914,0.46934576464333716,0.5257632780270382,0.8805925426853924,0.11710165121343227,0.10053471814711744,0.13378253092502546,0.3437801794595691,0.5045207956600362
range_only,0.5196817943566763,0.4944033545640606,0.5425197391881891,0.8540742406933879,0.0796097124174358,0.06706666067762226,0.09284062445999426,0.23306792688875574,0.45750452079566006
spatial,0.6356760184928815,0.6059913036234387,0.6547084315401567,0.9041489246570256,0.0740541695267824,0.06234703545058302,0.08650429971649858,0.2227034948111555,0.4448462929475588
scalar,0.6516653027158854,0.623912227713381,0.6716295363947162,0.909841847423079,0.07681595349730266,0.0646247224460248,0.08888701255554876,0.2632791560822693,0.45207956600361665
antheia_4d,0.635117375248949,0.605468158790527,0.6537752440021044,0.902922991225371,0.07400896157018204,0.06232087091588024,0.08645909175989823,0.2240480347921538,0.4448462929475588
antheia_15d,0.6340145372701927,0.603419040122419,0.6537001639097031,0.9015425014824796,0.07412025194903855,0.06245749552245175,0.08658589436556689,0.2236323092378145,0.4448462929475588
pmf,0.6331441585205687,0.603465000966129,0.6527546366062119,0.9034352300820168,0.0723904197207886,0.06116600893849404,0.08384992456051729,0.21947639629816476,0.4448462929475588
