model,recall@10,r10_lo,r10_hi,recall@20,ndcg@10,nd10_lo,nd10_hi,ndcg@20,nrecall@10,median_rank_first,t1_recall@10
degree_rank,0.0796097124174358,0.06706666067762226,0.09284062445999426,0.1406589512156796,0.1393493820767479,0.12416375285303745,0.15659232806542128,0.14560665078940546,0.13433508424466833,12.0,0.02872528968740771
rank_n,0.10438371376701303,0.08944812662994353,0.11988098505198265,0.1952799827873089,0.1461391079524711,0.13030658260629296,0.16431722332268003,0.16552055171286437,0.16887898619363356,11.0,0.11665550948380769
rank_n_tax_ldelta,0.2085048749609974,0.18755039270098034,0.23297081761115498,0.29382853144289267,0.28690175139836216,0.26215994992761665,0.31164649168569675,0.29283652380761294,0.30148396911507214,3.0,0.3024807418810336
gbm_geo_tuned,0.24540113727925597,0.22051935244052592,0.2700814933211095,0.33701981970596706,0.3278241526621553,0.3041744574927303,0.3515292551989675,0.3290545483481723,0.3504951347627659,3.0,0.47109809727147434
twotower_none,0.22536488518773026,0.2014770723584318,0.24953154175939884,0.31889834677665374,0.3053517573701988,0.28198301321417607,0.3306870585932364,0.3094285005325607,0.32935001004621256,3.0,0.46851992148756605
twotower_bioclip,0.2612005946949933,0.23776471517700384,0.2869070868187493,0.38283789038161353,0.3198346411356892,0.29543983110749605,0.3439561043258037,0.3381925375062737,0.3649889491661643,3.0,0.47456483691791396
twotower_bioclip2,0.2512310163015963,0.2285525530155599,0.27512087485521414,0.36547189609780184,0.31368415467675415,0.29071945239209307,0.33690324164080754,0.3298902913444541,0.3545193604868108,3.0,0.4570399173037784
