plant,pollinator
Achillea millefolium,Pollenia angustigena
Achillea millefolium,Pollenia pediculata
Achillea millefolium,Polygonia c-album
Achillea millefolium,Polyommatus icarus
Achillea millefolium,Protophormia terraenovae
Achillea millefolium,Pseudospinolia neglecta
Achillea millefolium,Pyrausta subsequalis
Achillea millefolium,Pyrgus communis
Achillea millefolium,Pyrophaena granditarsa
Achillea millefolium,Saltella sphondylii
Achillea millefolium,Sarcophaga subvicina
Achillea millefolium,Sitona obsoletus
Achillea millefolium,Speyeria aphrodite
Achillea millefolium,Speyeria atlantis
Achillea millefolium,Speyeria callippe
Achillea millefolium,Speyeria mormonia
Achillea millefolium,Sphecodes ranunculi
Achillea millefolium,Syrphus ribesii
Achillea millefolium,Syrphus vitripennis
Achillea millefolium,Tharsalea arota
Achillea millefolium,Thecophora occidensis
Achillea millefolium,Thessalia leanira
Achillea millefolium,Tipula
Achillea millefolium,Trichiotinus affinis
Achillea millefolium,Trichodes apiarius
Achillea millefolium,Urophora stylata
Achillea millefolium,Vespa crabro
Achillea millefolium,Villa agrippina
Achillea millefolium,Xylota segnis
Achillea ptarmica,Aglais urticae
Achillea ptarmica,Eristalis arbustorum
Achillea ptarmica,Eristalis tenax
Achillea ptarmica,Halictus rubicundus
Achillea ptarmica,Harmonia axyridis
Achillea ptarmica,Helophilus hybridus
Achillea ptarmica,Heriades truncorum
Achillea ptarmica,Hylaeus annulatus
Achillea ptarmica,Hylaeus hyalinatus
Achillea ptarmica,Hylaeus leptocephalus
Achillea ptarmica,Hylaeus pictipes
Achillea ptarmica,Hylaeus punctatus
Achillea ptarmica,Leucoma salicis
Achillea ptarmica,Lithurgus chrysurus
Achillea ptarmica,Lycaena phlaeas
Achillea ptarmica,Myathropa florea
Achillea ptarmica,Polyommatus icarus
Achillea ptarmica,Rhagonycha fulva
Achillea ptarmica,Syritta pipiens
Acmispon americanus,Anthidiellum notatum
Acmispon americanus,Anthidiellum robertsoni
Acmispon americanus,Ashmeadiella cactorum
Acmispon americanus,Megachile angelarum
Acmispon americanus,Megachile brevis
Aconitum columbianum,Bombus
Actaea racemosa,Trichiotinus affinis
Actaea rubra,Augochlorella aurata
Actaea rubra,Lasioglossum pectorale
Aegopodium podagraria,Andrena barbilabris
Aegopodium podagraria,Anthrenus fuscus
Aegopodium podagraria,Athous haemorrhoidalis
Aegopodium podagraria,Bellardia vulgaris
Aegopodium podagraria,Bombus bohemicus
Aegopodium podagraria,Bombus hypnorum
Aegopodium podagraria,Bombus lapidarius
Aegopodium podagraria,Botanophila fugax
Aegopodium podagraria,Chloromyia formosa
Aegopodium podagraria,Chrysis fuscipennis
Aegopodium podagraria,Clytus arietis
Aegopodium podagraria,Crioceris duodecimpunctata
Aegopodium podagraria,Delia platura
Aegopodium podagraria,Delia radicum
Aegopodium podagraria,Epistrophe grossulariae
Aegopodium podagraria,Epistrophe nitidicollis
Aegopodium podagraria,Episyrphus balteatus
Aegopodium podagraria,Eristalis nemorum
Aegopodium podagraria,Eristalis rupium
Aegopodium podagraria,Eristalis tenax
Aegopodium podagraria,Eupeodes latifasciatus
Aegopodium podagraria,Gnophaela vermiculata
Aegopodium podagraria,Halictus rubicundus
Aegopodium podagraria,Hylaeus annulatus
Aegopodium podagraria,Hylaeus hyalinatus
Aegopodium podagraria,Hylaeus leptocephalus
Aegopodium podagraria,Hylaeus pictipes
Aegopodium podagraria,Hylaeus punctatus
Aegopodium podagraria,Lapposyrphus lapponicus
Aegopodium podagraria,Lucilia silvarum
Aegopodium podagraria,Meliscaeva cinctella
Aegopodium podagraria,Myathropa florea
Aegopodium podagraria,Oxybelus uniglumis
Aegopodium podagraria,Pieris napi
Aegopodium podagraria,Rhagonycha fulva
Aegopodium podagraria,Scathophaga stercoraria
Aegopodium podagraria,Syrphus ribesii
Aegopodium podagraria,Syrphus vitripennis
Aegopodium podagraria,Vanessa atalanta
Aegopodium podagraria,Vanessa cardui
Aesculus californica,Ceratina punctigena
Aesculus californica,Cyaniris neglecta
Aesculus californica,Eresia aveyrona
Aesculus californica,Hesperia lindseyi
Aesculus californica,Icaricia icarioides
Aesculus californica,Junonia coenia
Aesculus californica,Lycaena gorgon
Aesculus californica,Thecla tetra
Aesculus californica,Thorybes pylades
Aesculus glabra,Anthophora ursina
Aesculus glabra,Osmia bucephala
Aesculus glabra,Osmia cordata
Aesculus hippocastanum,Bombus auricomus
Aesculus hippocastanum,Bombus hypnorum
Aesculus hippocastanum,Bombus lapidarius
Aesculus hippocastanum,Bombus pensylvanicus
Aesculus hippocastanum,Cheilosia albitarsis
Aesculus hippocastanum,Dasysyrphus venustus
Aesculus hippocastanum,Epistrophe nitidicollis
Aesculus hippocastanum,Episyrphus balteatus
Aesculus hippocastanum,Eristalis arbustorum
Aesculus hippocastanum,Eristalis tenax
Aesculus hippocastanum,Habropoda depressa
Aesculus hippocastanum,Helophilus hybridus
Aesculus hippocastanum,Meliscaeva cinctella
Aesculus hippocastanum,Merodon equestris
Aesculus hippocastanum,Myathropa florea
Aesculus hippocastanum,Syritta pipiens
Aesculus hippocastanum,Syrphus ribesii
Aesculus hippocastanum,Syrphus vitripennis
Aesculus hippocastanum,Vanessa atalanta
Aesculus hippocastanum,Vespa crabro
Aesculus hippocastanum,Xylota segnis
Aesculus sylvatica,Habropoda laboriosa
Agalinis filifolia,Agapostemon splendens
Agalinis filifolia,Anthidium maculifrons
Agalinis filifolia,Augochlorella aurata
Agalinis filifolia,Bombus impatiens
Agalinis filifolia,Bombus pensylvanicus
Agalinis filifolia,Hylaeus confluens
Agalinis filifolia,Lasioglossum tegulare
