plant,r10_rank_n,r50_rank_n,hit_rank_n,r10_rank_n_tax_ldelta,r50_rank_n_tax_ldelta,hit_rank_n_tax_ldelta,r10_gbm_geo_tuned,r50_gbm_geo_tuned,hit_gbm_geo_tuned,r10_twotower_none,r50_twotower_none,hit_twotower_none,r10_twotower_bioclip,r50_twotower_bioclip,hit_twotower_bioclip,r10_twotower_bioclip2,r50_twotower_bioclip2,hit_twotower_bioclip2,degree,range_size,genus,genus_seen,deg_q,range_q
Dudleya edulis,0.0,0.0,0.0,0.6666666666666666,0.8333333333333334,1.0,0.6666666666666666,0.6666666666666666,1.0,0.6666666666666666,0.6666666666666666,1.0,0.6666666666666666,0.6666666666666666,1.0,0.6666666666666666,0.6666666666666666,1.0,6,5.0,Dudleya,True,Q2,narrow
Dysphania ambrosioides,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1,28.0,Dysphania,False,Q1 low,R2
Echinocereus fendleri,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1,35.0,Echinocereus,True,Q1 low,R2
Ehretia anacua,0.0,0.6666666666666666,0.0,0.0,0.3333333333333333,0.0,1.0,1.0,1.0,0.6666666666666666,1.0,1.0,1.0,1.0,1.0,0.6666666666666666,1.0,1.0,3,30.0,Ehretia,False,Q2,R2
Elaeagnus angustifolia,0.0909090909090909,0.3636363636363636,1.0,0.2727272727272727,0.5454545454545454,1.0,0.1818181818181818,0.4545454545454545,1.0,0.0909090909090909,0.6363636363636364,1.0,0.0909090909090909,0.4545454545454545,1.0,0.2727272727272727,0.5454545454545454,1.0,11,138.0,Elaeagnus,True,Q3,wide
Elephantopus tomentosus,0.2727272727272727,0.4545454545454545,1.0,0.0909090909090909,0.3636363636363636,1.0,0.3636363636363636,0.4545454545454545,1.0,0.2727272727272727,0.5454545454545454,1.0,0.2727272727272727,0.6363636363636364,1.0,0.3636363636363636,0.5454545454545454,1.0,11,104.0,Elephantopus,True,Q3,wide
Elymus virginicus,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1,45.0,Elymus,False,Q1 low,R3
Epilobium brachycarpum,0.125,0.75,1.0,0.25,0.375,1.0,0.5,0.75,1.0,0.5,0.875,1.0,0.375,0.875,1.0,0.375,0.875,1.0,8,54.0,Epilobium,True,Q3,R3
Eremalche exilis,0.5,1.0,1.0,0.0,0.5,0.0,0.5,1.0,1.0,0.0,0.0,0.0,0.5,1.0,1.0,0.0,1.0,0.0,2,7.0,Eremalche,False,Q1 low,narrow
Eremogone congesta,0.25,0.75,1.0,0.0,0.0,0.0,0.75,0.75,1.0,0.75,0.75,1.0,0.5,0.75,1.0,0.5,0.75,1.0,4,23.0,Eremogone,True,Q2,R2
Ericameria cuneata,0.4,0.6,1.0,0.6,0.6,1.0,0.4,0.6,1.0,0.4,0.6,1.0,0.2,0.6,1.0,0.2,0.6,1.0,5,31.0,Ericameria,True,Q2,R2
Ericameria parishii,0.0,0.2,0.0,0.3,0.4,1.0,0.4,0.8,1.0,0.3,0.7,1.0,0.1,0.5,1.0,0.0,0.6,0.0,10,9.0,Ericameria,True,Q3,narrow
Ericameria resinosa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,14.0,Ericameria,True,Q1 low,narrow
Erigeron divergens,0.0,0.0,0.0,0.0625,0.1875,1.0,0.0,0.0625,0.0,0.0625,0.0625,1.0,0.0,0.0,0.0,0.0,0.0625,0.0,16,32.0,Erigeron,True,Q3,R2
Erigeron speciosus,0.0,0.2545454545454545,0.0,0.109090909090909,0.2,1.0,0.1454545454545454,0.4363636363636363,1.0,0.1636363636363636,0.3636363636363636,1.0,0.0727272727272727,0.3090909090909091,1.0,0.1636363636363636,0.4181818181818181,1.0,55,57.0,Erigeron,True,Q4 high,R3
Eriocaulon compressum,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,22.0,Eriocaulon,True,Q1 low,R2
Eriodictyon angustifolium,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1,12.0,Eriodictyon,True,Q1 low,narrow
Eriogonum gracile,0.0,0.25,0.0,0.5,0.75,1.0,0.0,0.5,0.0,0.0,1.0,0.0,0.0,0.75,0.0,0.25,0.5,1.0,4,15.0,Eriogonum,True,Q2,narrow
Eriogonum incanum,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,2,11.0,Eriogonum,True,Q1 low,narrow
Eriogonum plumatella,0.0,0.25,0.0,0.2,0.3,1.0,0.15,0.25,1.0,0.2,0.35,1.0,0.15,0.35,1.0,0.2,0.35,1.0,20,11.0,Eriogonum,True,Q4 high,narrow
Erodium cicutarium,0.1428571428571428,0.3061224489795918,1.0,0.1428571428571428,0.3673469387755102,1.0,0.1020408163265306,0.4081632653061224,1.0,0.1020408163265306,0.3061224489795918,1.0,0.1224489795918367,0.4489795918367347,1.0,0.1428571428571428,0.5102040816326531,1.0,49,579.0,Erodium,True,Q4 high,wide
Eryngium aristulatum,0.0,0.5,0.0,0.0,0.5,0.0,0.5,1.0,1.0,0.5,0.5,1.0,0.5,1.0,1.0,0.5,1.0,1.0,2,10.0,Eryngium,True,Q1 low,narrow
Eryngium yuccifolium,0.0365296803652968,0.1141552511415525,1.0,0.0319634703196347,0.1735159817351598,1.0,0.0410958904109589,0.1689497716894977,1.0,0.0365296803652968,0.1735159817351598,1.0,0.0410958904109589,0.1917808219178082,1.0,0.0365296803652968,0.1643835616438356,1.0,219,270.0,Eryngium,True,Q4 high,wide
Erythronium umbilicatum,0.0,0.2,0.0,0.2,0.3,1.0,0.3,0.4,1.0,0.2,0.3,1.0,0.1,0.6,1.0,0.1,0.6,1.0,10,92.0,Erythronium,True,Q3,R3
Eubotrys racemosa,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2,67.0,Eubotrys,False,Q1 low,R3
Eucalyptus globulus,0.0,0.4,0.0,0.4,0.4,1.0,0.4,0.8,1.0,0.4,0.6,1.0,0.6,1.0,1.0,0.6,0.8,1.0,5,16.0,Eucalyptus,False,Q2,narrow
Euonymus atropurpureus,0.0,0.0714285714285714,0.0,0.0,0.1428571428571428,0.0,0.0,0.1428571428571428,0.0,0.0,0.0,0.0,0.0,0.0714285714285714,0.0,0.0714285714285714,0.1428571428571428,1.0,14,166.0,Euonymus,True,Q3,wide
Eupatorium capillifolium,0.1875,0.4375,1.0,0.125,0.3125,1.0,0.0625,0.3125,1.0,0.0625,0.25,1.0,0.0,0.375,0.0,0.0625,0.25,1.0,16,169.0,Eupatorium,True,Q3,wide
Eupatorium leptophyllum,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,1.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,3,12.0,Eupatorium,True,Q2,narrow
Euphorbia cyparissias,0.0,0.1818181818181818,0.0,0.0606060606060606,0.0606060606060606,1.0,0.0303030303030303,0.1818181818181818,1.0,0.0606060606060606,0.1515151515151515,1.0,0.0606060606060606,0.1818181818181818,1.0,0.0606060606060606,0.303030303030303,1.0,33,112.0,Euphorbia,True,Q4 high,wide
Euphorbia oblongata,0.1111111111111111,0.2222222222222222,1.0,0.1111111111111111,0.1111111111111111,1.0,0.1111111111111111,0.4444444444444444,1.0,0.1111111111111111,0.3333333333333333,1.0,0.1111111111111111,0.3333333333333333,1.0,0.1111111111111111,0.3333333333333333,1.0,9,23.0,Euphorbia,True,Q3,R2
Euphorbia serpillifolia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,52.0,Euphorbia,True,Q1 low,R3
Euploca polyphylla,0.0,0.2,0.0,0.0,0.0,0.0,0.2,0.4,1.0,0.1,0.5,1.0,0.0,0.5,0.0,0.1,0.5,1.0,10,18.0,Euploca,False,Q3,narrow
Eurybia divaricata,0.0348837209302325,0.127906976744186,1.0,0.0930232558139534,0.2558139534883721,1.0,0.0697674418604651,0.2906976744186046,1.0,0.0581395348837209,0.2674418604651162,1.0,0.0813953488372093,0.4186046511627907,1.0,0.1046511627906976,0.3255813953488372,1.0,86,139.0,Eurybia,True,Q4 high,wide
