arm,lr_pr,lo,hi,gbm_pr
"base (Vf,Vp,N,tax)",0.5181207623675469,0.45573974748157187,0.5696180535211663,0.4952851609772793
base + GBIF temporal,0.5439464599228431,0.485435069238516,0.592793129804986,0.49672626421560795
base + SDM temporal,0.5502416358315332,0.49086955647562813,0.5975743206387965,0.49433504241775317
base + both,0.5547242928554615,0.49667587126740936,0.6017446355206223,0.4987439188036435
