stratum,n_plants,rank_n,rank_n_lo,rank_n_hi,rank_n_tax_ldelta,rank_n_tax_ldelta_lo,rank_n_tax_ldelta_hi,gbm_geo,gbm_geo_lo,gbm_geo_hi
all partners,553,0.11710165121343227,0.10053471814711744,0.13378253092502546,0.2085048749609974,0.18755039270098034,0.23297081761115498,0.24540113727925597,0.22051935244052592,0.2700814933211095
curated only,222,0.11618596098794341,0.08404828359112557,0.15293886286750827,0.3024807418810336,0.2598226923730747,0.3525061468275468,0.47109809727147434,0.41948382072025703,0.5229481980488736
iNat-only,515,0.12367536161162973,0.10676604208759095,0.14318870549530865,0.20123860187827647,0.1786064421355627,0.22510713589146353,0.2075157669585509,0.186069941379614,0.23081928119890446
"Hymenoptera, curated",221,0.3693264038851931,0.32213132081981755,0.4206057538330485,0.40287665077201495,0.36073814808867405,0.4545555316705152,0.5336763356553839,0.4842276843957913,0.583879696913069
"Hymenoptera, iNat-only",367,0.3272586676491895,0.2919790388945586,0.3598049543241786,0.377468131979969,0.33859251110719524,0.41127891997626925,0.4017138535437059,0.36606633864411814,0.43502700958772506
"Lepidoptera, all",385,0.20778585210034237,0.18112801637135117,0.23903953756741406,0.29255827550430097,0.2588104315943613,0.32741659503118603,0.29909644417243814,0.2677138866508878,0.33311967072172005
