model,recall@10,lo,hi,recall@50,hit@10
gbm_geo,0.23570554429381457,0.21213915955196536,0.2594052982346784,0.48992762849834853,0.6871609403254972
gbm_full,0.19203824809729111,0.17124804998673482,0.21358487744622123,0.37548040874247834,0.6130198915009042
