model,recall@10,lo,hi,hit@10
rank_n,0.11710165121343227,0.10053471814711744,0.13378253092502546,0.5045207956600362
rank_n_embsim,0.10942398876044396,0.0937291887955714,0.1267529065918332,0.5117540687160941
rank_n_tax_embsim,0.19562394933878446,0.17561622024696205,0.2168210667296673,0.6419529837251357
rank_vq_n_tax_embsim_ld,0.17907844313672633,0.15949172866911565,0.19880886515763302,0.620253164556962
gbm_full_emb,0.18508912519101342,0.16426061066834863,0.20693717782617083,0.6130198915009042
hyb_n_embsim,0.13331994376099868,0.11563086140591188,0.15065490093845668,0.5497287522603979
