model,recall@10,r10_lo,r10_hi,recall@50,hit@10,pr_auc_pooled
rank_n,0.11710165121343227,0.10053471814711744,0.13378253092502546,0.3437801794595691,0.5045207956600362,0.5011218897656914
rank_n_delta,0.08087737040144281,0.0676575392881454,0.09499647935708809,0.23186851717990395,0.4394213381555154,0.5229363153899361
rank_spatial,0.07639540168475649,0.06472277299365463,0.08890816542020619,0.23238817816623392,0.45207956600361665,0.6338674934728379
rank_scalar,0.07871588828243588,0.06657804936817965,0.09127294473590884,0.26281906198399485,0.45750452079566006,0.6486202372176286
rank_full,0.0802966840934348,0.06804663562800195,0.0934815551429556,0.2636669518262775,0.4593128390596745,0.6487032055981057
