model,r10_all,lo,hi,r50_all,hit10_all,r10_t1,t1_lo,t1_hi
degree_rank,0.0796097124174358,0.06706666067762226,0.09284062445999426,0.23306792688875574,0.45750452079566006,0.02872528968740771,0.01585703213106966,0.045096016282056596
rank_n,0.11521266970343702,0.09762155967092792,0.132206380379319,0.3426231048292618,0.5081374321880651,0.11688943702036682,0.08696149951368641,0.15343134047562915
rank_n_tax_ldelta,0.2085048749609974,0.18755039270098034,0.23297081761115498,0.43124260823509636,0.6582278481012658,0.3024807418810336,0.2598226923730747,0.3525061468275468
gbm_geo_tuned,0.24540113727925597,0.22051935244052592,0.2700814933211095,0.491355366435613,0.6998191681735986,0.47109809727147434,0.41948382072025703,0.5229481980488736
twotower_none,0.22536488518773026,0.2014770723584318,0.24953154175939884,0.48315138195156393,0.674502712477396,0.46851992148756605,0.4201751151188173,0.5189154780501337
twotower_bioclip,0.2612005946949933,0.23776471517700384,0.2869070868187493,0.5462194455189194,0.7359855334538878,0.47456483691791396,0.42797013438695775,0.525863553812797
twotower_bioclip2,0.2512310163015963,0.2285525530155599,0.27512087485521414,0.5453220854579118,0.7269439421338155,0.4570399173037784,0.4067065467322732,0.5083250648543737
